timestamp,x,y,z
0,-0.9,2.83,7.93
10,-1.02,2.79,7.84
20,-1.09,2.77,7.76
30,-1.24,2.71,7.69
40,-1.39,2.62,7.64
50,-1.56,2.62,7.63
60,-1.6,2.6,7.67
70,-1.48,2.59,7.7
80,-1.41,2.61,7.65
90,-1.34,2.59,7.69
100,-1.32,2.53,7.7
110,-1.29,2.49,7.79
120,-1.22,2.52,7.94
130,-1.04,2.56,8.12
140,-0.88,2.61,8.26
150,-0.79,2.72,8.31
160,-0.8,2.73,8.32
170,-0.81,2.74,8.16
180,-0.76,2.7,8.09
190,-0.66,2.7,8.13
200,-0.52,2.67,8.3
210,-0.28,2.67,8.44
220,-0.03,2.63,8.59
230,0.19,2.57,8.62
240,0.4,2.51,8.56
250,0.72,2.29,8.54
260,1.26,2.01,8.68
270,1.93,1.86,8.91
280,2.76,1.7,9.13
290,3.85,1.93,9.5
300,5.03,2.14,9.91
310,6.02,2.44,9.39
320,6.95,1.97,9.29
330,6.89,2.16,8.54
340,6.16,2.31,7.87
350,5.01,2.02,7.52
360,3.72,1.88,7.23
370,2.44,1.65,7.25
380,0.89,1.61,7.29
390,-0.82,1.55,7.46
400,-2.56,1.54,7.81
410,-4.16,1.28,8.09
420,-5.47,1.21,8.44
430,-6.49,1.44,8.68
440,-7.09,1.55,9.09
450,-7.17,1.63,9.24
460,-6.99,1.85,9.24
470,-6.77,2.08,9.16
480,-6.7,2.2,8.99
490,-6.59,2.36,8.72
500,-6.37,2.41,8.48
510,-6.08,2.33,8.41
520,-6.09,2.08,8.27
530,-6.34,1.71,8.01
540,-6.62,1.28,7.63
550,-6.95,1.1,7.46
560,-7.25,0.79,7.48
570,-7.46,0.54,7.35
580,-7.21,0.34,7.14
590,-6.68,0.27,7.02
600,-6.04,0.25,6.64
610,-5.33,0.29,6.42
620,-4.57,0.37,6.18
630,-3.86,0.23,6.22
640,-3.26,-0.12,6.52
650,-2.13,-0.29,7.24
660,-0.57,-0.2,8.19
670,1.13,0.06,8.91
680,2.68,0.36,9.56
690,4.01,0.69,10.11
700,4.98,0.96,10.45
710,5.67,1.03,10.72
720,6.2,1.1,11.07
730,6.78,1.14,11.38
740,7.11,0.88,11.68
750,7.27,0.71,11.78
760,7.15,0.48,11.43
770,7.01,0.11,10.82
780,7.03,-0.14,10.51
790,7.43,-0.09,10.59
800,8.09,0.1,10.74
810,8.7,0.3,10.74
820,8.74,0.34,10.37
830,8.37,0.12,9.99
840,7.41,-0.17,9.5
850,6.26,-0.44,9.23
860,4.79,-0.46,8.94
870,3.18,-0.49,8.64
880,1.46,-0.49,8.38
890,-0.17,-0.37,8.18
900,-1.69,-0.16,8.11
910,-3.08,-0.06,8.42
920,-4.43,-0.02,8.85
930,-5.8,-0.18,9.33
940,-7.1,-0.25,9.63
950,-7.73,-0.16,9.37
960,-8.17,-0.11,9.4
970,-7.94,0.15,9.31
980,-7.44,0.38,9.27
990,-6.75,0.56,9.02
1000,-6.15,0.58,9.04
