timestamp,x,y,z
0,3.68,6.67,6.8
10,3.35,6.68,6.7
20,2.98,6.76,6.53
30,2.77,6.83,6.34
40,2.59,6.91,6.27
50,2.46,6.91,6.38
60,2.27,6.91,6.61
70,1.96,6.89,6.79
80,1.61,6.79,7.03
90,1.33,6.68,7.13
100,1.41,6.43,7.52
110,1.66,6.34,7.97
120,1.58,6.26,8.43
130,1.75,6.36,8.47
140,1.62,6.43,8.35
150,1.6,6.44,7.95
160,1.67,6.5,7.44
170,1.65,6.35,6.64
180,1.64,5.95,5.6
190,1.78,5.8,4.97
200,1.65,5.65,4.65
210,1.45,5.74,4.62
220,1.16,5.99,4.87
230,1.09,6.21,4.75
240,1.08,6.32,4.44
250,1.0,6.12,3.99
260,0.8,5.66,3.42
270,1.11,5.26,2.88
280,2.11,4.93,2.66
290,3.96,4.76,2.51
300,6.83,4.53,2.03
310,10.68,4.58,1.56
320,15.71,5.0,1.14
330,21.94,5.71,1.76
340,26.33,6.25,2.31
350,28.44,6.28,3.32
360,28.07,5.91,4.64
370,26.42,4.89,5.67
380,24.23,3.23,5.71
390,21.72,1.71,5.24
400,18.74,0.68,4.38
410,15.62,0.11,4.06
420,11.76,-0.68,4.25
430,7.07,-1.82,4.83
440,1.95,-3.02,6.28
450,-3.03,-4.36,8.8
460,-8.23,-5.44,11.36
470,-13.4,-6.08,13.16
480,-17.18,-6.52,13.6
490,-20.32,-7.02,13.34
500,-23.34,-6.87,12.97
510,-25.53,-6.56,12.95
520,-26.29,-6.2,12.56
530,-26.47,-5.37,12.05
540,-26.42,-5.41,11.43
550,-25.94,-4.71,11.42
560,-26.93,-4.38,9.95
570,-27.85,-4.66,7.78
580,-28.52,-5.84,6.04
590,-28.74,-7.62,4.75
600,-27.44,-9.05,4.05
610,-23.9,-9.99,4.34
620,-18.76,-10.33,5.06
630,-12.72,-10.4,5.98
640,-5.93,-10.03,7.02
650,1.07,-8.99,8.23
660,8.07,-7.81,9.33
670,13.4,-7.14,10.49
680,18.3,-6.09,12.26
690,23.18,-4.54,14.33
700,27.65,-2.72,15.5
710,29.32,-1.13,15.71
720,28.22,-0.21,14.87
730,25.93,-0.28,14.21
740,24.11,-0.47,14.22
750,22.54,-0.8,14.44
760,22.17,-1.13,14.65
770,22.95,-0.96,14.64
780,24.43,-0.62,14.27
790,25.32,-0.5,13.96
800,25.8,-1.06,13.46
810,26.24,-1.77,12.92
820,26.53,-2.77,12.0
830,26.48,-3.9,10.82
840,25.6,-4.85,9.86
850,23.49,-5.59,8.96
860,20.52,-6.03,8.35
870,16.52,-6.5,8.07
880,11.48,-6.91,7.98
890,4.67,-7.42,8.08
900,-3.33,-8.43,8.83
910,-12.11,-9.55,9.94
920,-20.42,-11.62,10.24
930,-27.95,-13.61,10.84
940,-35.14,-15.5,13.31
950,-41.25,-15.95,15.27
960,-41.65,-14.46,15.8
970,-35.57,-11.8,16.16
980,-28.46,-7.97,15.24
990,-19.92,-3.82,14.02
1000,-10.81,-0.25,12.51
