timestamp,x,y,z
0,2.07,4.61,7.53
10,2.16,4.55,7.51
20,2.14,4.52,7.51
30,2.19,4.52,7.54
40,2.18,4.5,7.67
50,2.08,4.45,7.77
60,1.93,4.36,7.77
70,1.81,4.33,7.75
80,1.79,4.33,7.73
90,1.88,4.41,7.71
100,1.96,4.42,7.52
110,2.09,4.55,7.43
120,2.19,4.61,7.41
130,2.22,4.6,7.35
140,2.21,4.59,7.28
150,2.23,4.51,7.26
160,2.19,4.42,7.31
170,2.11,4.41,7.35
180,2.18,4.31,7.33
190,2.28,4.21,7.35
200,2.6,4.1,7.34
210,3.12,4.0,7.46
220,3.91,3.78,7.64
230,5.14,3.79,7.9
240,6.67,4.01,8.27
250,8.79,4.4,8.71
260,10.77,4.78,8.89
270,12.08,4.87,8.72
280,12.71,4.84,8.03
290,12.35,4.29,7.11
300,11.36,3.8,6.47
310,9.78,3.55,5.8
320,8.36,3.7,5.37
330,6.62,3.53,5.07
340,4.57,3.07,4.95
350,2.52,2.89,5.21
360,0.4,2.81,5.5
370,-1.79,2.49,5.97
380,-3.97,2.05,6.68
390,-5.99,1.74,7.59
400,-7.58,1.3,7.94
410,-8.17,1.01,7.76
420,-8.34,1.59,7.24
430,-8.21,2.36,6.96
440,-8.12,2.62,6.83
450,-8.39,2.65,6.97
460,-8.72,2.4,7.08
470,-9.55,2.01,7.23
480,-10.64,1.59,7.41
490,-11.55,1.1,7.46
500,-12.14,0.75,7.62
510,-12.14,0.49,7.68
520,-10.94,0.33,7.54
530,-9.28,0.25,7.51
540,-7.88,0.33,7.72
550,-6.12,0.43,7.95
560,-3.86,0.48,7.97
570,-1.78,0.76,8.06
580,0.24,1.07,8.33
590,2.38,1.22,8.58
600,4.33,1.24,8.91
610,6.56,1.17,9.33
620,8.72,1.52,10.02
630,10.86,1.95,10.6
640,12.47,2.25,10.79
650,13.48,2.25,10.62
660,14.09,2.5,10.46
670,14.36,2.5,10.46
680,14.65,2.6,10.36
690,14.89,2.6,10.07
700,14.8,2.48,9.66
710,14.54,2.27,9.32
720,14.12,2.01,8.89
730,13.71,1.9,8.54
740,13.28,1.74,8.15
750,12.39,1.52,7.96
760,11.28,1.22,7.69
770,9.9,0.82,7.44
780,8.46,0.52,7.51
790,7.06,0.33,7.54
800,5.86,0.09,7.81
810,4.83,0.12,8.14
820,3.71,0.0,8.36
830,2.63,0.03,8.82
840,1.26,0.03,9.12
850,-0.12,0.06,9.34
860,-1.53,0.05,9.48
870,-3.07,-0.09,9.73
880,-4.3,-0.14,9.86
890,-5.57,-0.16,10.07
900,-6.43,-0.25,10.29
910,-6.91,-0.21,10.46
920,-6.9,-0.01,10.65
930,-6.29,0.36,10.68
940,-5.39,0.92,10.54
950,-4.5,1.31,10.31
960,-3.78,1.53,9.95
970,-3.44,1.58,9.7
980,-3.17,1.42,9.65
990,-2.73,1.43,9.67
1000,-2.11,1.46,9.56
