timestamp,x,y,z
0,5.27,6.23,5.48
10,5.13,6.24,5.53
20,4.95,6.23,5.51
30,4.73,6.23,5.51
40,4.55,6.15,5.56
50,4.3,6.13,5.54
60,4.13,6.18,5.53
70,4.03,6.26,5.64
80,3.98,6.31,5.8
90,3.95,6.27,5.88
100,3.83,6.16,5.83
110,3.76,6.08,5.74
120,3.65,6.07,5.76
130,3.66,6.06,5.8
140,3.64,6.07,5.79
150,3.75,6.05,5.8
160,3.9,5.98,5.86
170,4.12,5.91,5.84
180,4.35,5.75,5.81
190,4.71,5.64,5.74
200,5.36,5.56,5.71
210,6.15,5.47,5.52
220,6.96,5.3,5.23
230,7.72,5.07,4.83
240,8.42,4.67,4.32
250,9.3,4.22,3.8
260,10.35,3.85,3.32
270,11.4,3.21,2.66
280,12.29,2.63,2.1
290,12.58,2.28,1.89
300,12.98,1.86,1.66
310,12.9,1.66,1.47
320,12.7,1.51,1.18
330,12.54,1.53,1.05
340,12.41,1.64,0.98
350,12.22,1.6,0.92
360,11.92,1.38,0.73
370,11.53,1.25,0.6
380,11.2,0.99,0.61
390,10.27,1.36,1.27
400,9.26,1.66,1.79
410,7.82,1.65,2.7
420,5.78,1.13,3.77
430,3.89,0.66,4.94
440,2.09,0.37,6.44
450,0.01,-0.16,7.99
460,-2.01,-0.35,9.48
470,-3.9,-0.18,11.36
480,-5.65,-0.09,13.01
490,-6.87,0.3,14.44
500,-7.8,0.75,15.06
510,-8.4,1.19,15.05
520,-8.95,1.47,15.11
530,-9.78,1.57,15.68
540,-11.09,1.52,16.67
550,-12.93,1.21,17.58
560,-15.05,0.32,18.27
570,-18.02,-0.68,18.71
580,-20.97,-2.17,19.1
590,-22.84,-3.69,18.91
600,-23.76,-4.55,18.26
610,-23.19,-5.14,17.31
620,-21.1,-5.45,16.18
630,-17.86,-5.54,14.72
640,-13.22,-5.49,13.18
650,-7.79,-4.53,11.95
660,-1.66,-3.77,10.76
670,4.34,-2.78,9.28
680,8.72,-1.64,8.64
690,11.47,-1.15,8.1
700,14.03,-1.17,7.16
710,16.47,-0.7,6.26
720,18.29,-0.58,6.26
730,19.7,-0.14,6.25
740,20.1,0.18,6.88
750,20.31,0.45,6.32
760,20.26,0.69,5.5
770,21.25,0.87,5.8
780,22.36,0.88,5.79
790,22.24,1.67,6.29
800,22.44,1.59,6.04
810,22.47,1.44,5.34
820,22.38,1.41,4.92
830,21.9,1.55,4.99
840,20.9,1.45,5.24
850,19.4,0.87,5.53
860,17.65,0.19,5.9
870,15.8,-0.69,6.22
880,14.27,-1.3,6.57
890,13.06,-1.78,6.99
900,12.1,-1.93,7.4
910,11.02,-1.86,7.75
920,9.9,-2.0,7.94
930,8.88,-2.22,8.03
940,7.41,-2.43,8.24
950,5.54,-2.84,8.77
960,3.2,-3.28,9.69
970,1.36,-3.8,10.42
980,-0.85,-3.72,10.76
990,-3.34,-3.66,11.35
1000,-5.48,-3.97,11.55
