timestamp,x,y,z
0,4.64,3.47,7.03
10,4.63,3.48,7.02
20,4.66,3.5,7.02
30,4.7,3.47,7.05
40,4.83,3.5,7.02
50,4.91,3.46,7.02
60,5.04,3.45,7.04
70,5.02,3.4,7.1
80,5.01,3.42,7.06
90,4.92,3.39,6.95
100,4.88,3.39,6.83
110,4.92,3.42,6.81
120,4.98,3.37,6.79
130,5.09,3.32,6.76
140,5.2,3.28,6.74
150,5.31,3.22,6.73
160,5.4,3.12,6.65
170,5.53,3.04,6.55
180,5.72,2.93,6.53
190,6.0,2.72,6.54
200,6.31,2.5,6.47
210,6.88,2.2,6.48
220,7.74,1.82,6.47
230,8.94,1.33,6.27
240,10.07,0.87,6.04
250,11.63,0.33,5.78
260,12.85,-0.23,5.29
270,14.33,-0.55,4.75
280,15.98,-0.67,4.0
290,17.26,-0.59,3.19
300,18.75,-0.4,2.9
310,19.63,-0.32,2.17
320,19.73,0.02,1.54
330,19.03,0.13,1.17
340,17.51,-0.02,1.11
350,15.8,-0.55,1.04
360,13.68,-1.29,1.13
370,11.57,-1.89,1.62
380,9.28,-2.09,2.42
390,6.74,-2.22,3.23
400,4.02,-2.45,4.15
410,1.07,-2.8,5.26
420,-1.79,-3.05,6.51
430,-4.4,-3.19,7.96
440,-6.49,-3.26,9.49
450,-8.12,-3.07,11.11
460,-9.48,-2.51,12.67
470,-10.33,-1.67,14.29
480,-11.05,-1.0,15.66
490,-11.98,-0.61,16.43
500,-13.09,-0.34,16.49
510,-14.09,-0.09,15.98
520,-14.74,0.04,15.43
530,-15.47,0.18,14.82
540,-16.03,0.15,13.86
550,-16.08,-0.03,12.61
560,-15.98,-0.24,11.37
570,-15.79,-0.73,10.47
580,-14.98,-1.36,10.25
590,-13.19,-1.76,10.63
600,-10.41,-1.92,11.19
610,-7.56,-2.01,11.41
620,-5.25,-2.08,11.16
630,-3.69,-2.18,10.21
640,-2.74,-2.63,9.32
650,-1.44,-3.04,8.99
660,0.66,-3.13,8.98
670,3.37,-3.26,9.15
680,5.99,-2.97,9.35
690,8.47,-2.94,8.94
700,10.04,-3.5,9.3
710,11.7,-3.78,9.83
720,13.5,-3.67,10.08
730,15.1,-3.49,9.79
740,16.12,-3.19,9.35
750,16.6,-3.13,8.99
760,16.76,-3.36,8.81
770,17.33,-3.41,8.88
780,18.08,-3.35,8.74
790,18.7,-3.29,8.33
800,19.06,-3.31,8.01
810,19.2,-3.4,7.4
820,19.16,-3.53,7.15
830,19.27,-3.75,7.48
840,19.8,-3.67,7.79
850,20.56,-3.52,8.13
860,20.93,-3.54,8.15
870,21.09,-3.63,8.36
880,20.85,-3.63,8.11
890,20.08,-3.81,7.69
900,18.99,-4.21,7.35
910,17.65,-4.53,7.13
920,15.4,-5.08,7.04
930,12.88,-5.51,7.11
940,9.93,-5.98,7.3
950,6.84,-6.04,7.79
960,4.1,-5.69,8.68
970,1.95,-4.94,9.65
980,-0.36,-4.21,10.42
990,-2.99,-3.49,11.08
1000,-6.19,-3.26,11.58
