timestamp,x,y,z
0,2.0,3.42,7.97
10,2.14,3.44,7.89
20,2.25,3.47,7.8
30,2.29,3.56,7.76
40,2.26,3.54,7.77
50,2.26,3.5,7.75
60,2.26,3.43,7.76
70,2.33,3.36,7.9
80,2.43,3.25,8.11
90,2.53,3.08,8.24
100,2.49,2.97,8.34
110,2.38,2.89,8.33
120,2.32,2.82,8.19
130,2.43,2.88,8.02
140,2.68,2.99,7.92
150,2.93,3.21,7.83
160,3.06,3.34,7.77
170,3.12,3.43,7.73
180,3.04,3.41,7.67
190,2.82,3.33,7.7
200,2.5,3.27,7.69
210,2.37,3.33,7.63
220,2.25,3.52,7.72
230,2.22,3.63,7.86
240,2.0,3.62,7.88
250,1.78,3.62,7.9
260,1.69,3.56,7.96
270,1.64,3.49,8.07
280,1.64,3.33,8.22
290,1.75,3.17,8.44
300,1.98,2.82,8.59
310,2.49,2.48,8.68
320,3.38,2.18,8.97
330,4.56,1.84,9.23
340,6.07,1.48,9.42
350,7.74,1.21,9.61
360,9.34,0.79,9.5
370,10.58,0.46,9.03
380,11.41,0.33,8.42
390,12.01,0.17,7.77
400,12.33,0.08,7.12
410,12.18,0.24,6.66
420,11.6,0.23,6.36
430,10.3,0.12,5.98
440,8.75,-0.09,5.33
450,7.45,0.02,5.08
460,5.95,0.15,4.68
470,4.62,0.43,4.48
480,3.33,0.28,4.63
490,1.85,0.42,5.22
500,-0.08,0.3,5.72
510,-2.05,0.41,6.46
520,-3.99,0.43,7.48
530,-5.88,0.45,8.22
540,-7.5,0.37,8.7
550,-8.9,0.12,9.21
560,-10.07,0.14,9.6
570,-11.05,0.21,9.64
580,-11.68,0.38,9.4
590,-12.33,0.76,9.2
600,-12.74,0.98,9.37
610,-13.17,1.03,9.42
620,-13.75,0.97,9.25
630,-14.36,0.64,8.74
640,-14.88,0.33,8.11
650,-15.03,0.1,7.59
660,-14.77,-0.24,7.27
670,-13.96,-0.35,7.11
680,-12.8,-0.78,7.2
690,-11.09,-1.17,7.53
700,-9.17,-1.2,7.88
710,-7.48,-1.08,8.13
720,-6.07,-1.16,7.96
730,-4.87,-1.65,8.06
740,-3.56,-2.49,8.56
750,-1.61,-2.94,9.7
760,0.82,-2.92,10.96
770,3.31,-2.83,11.75
780,5.43,-2.66,12.48
790,6.92,-2.29,12.1
800,8.24,-2.34,11.71
810,9.71,-2.6,11.65
820,10.67,-2.72,11.9
830,11.87,-2.74,12.19
840,13.16,-2.6,12.16
850,14.48,-2.52,12.02
860,15.53,-2.6,11.85
870,16.11,-2.49,10.87
880,16.33,-2.93,11.58
890,16.47,-2.82,11.29
900,16.13,-2.69,10.9
910,15.66,-2.77,10.52
920,15.18,-2.94,10.62
930,14.65,-2.98,10.86
940,13.77,-3.0,10.89
950,12.83,-3.24,10.94
960,11.71,-3.48,11.02
970,10.69,-3.68,10.82
980,9.16,-3.98,10.63
990,7.55,-4.29,10.27
1000,5.77,-4.33,9.85
