timestamp,x,y,z
0,0.53,5.02,6.66
10,0.74,5.09,6.55
20,0.89,5.13,6.43
30,1.05,5.11,6.24
40,1.29,5.1,6.07
50,1.43,5.06,6.01
60,1.55,5.04,5.97
70,1.6,5.03,5.97
80,1.64,5.04,5.96
90,1.69,5.07,5.83
100,1.69,5.11,5.86
110,1.74,5.14,5.82
120,1.82,5.17,5.75
130,1.92,5.15,5.67
140,1.98,5.21,5.64
150,2.09,5.2,5.68
160,2.06,5.2,5.77
170,1.9,5.25,5.85
180,1.9,5.3,5.97
190,1.95,5.35,6.04
200,2.03,5.33,6.07
210,2.11,5.34,6.04
220,2.26,5.33,6.07
230,2.4,5.41,6.05
240,2.5,5.36,6.19
250,2.59,5.33,6.38
260,2.86,5.42,6.61
270,3.25,5.43,6.78
280,4.16,5.62,6.99
290,4.98,5.66,7.25
300,6.76,6.1,8.05
310,8.72,6.51,8.63
320,10.84,7.07,9.16
330,12.99,7.39,9.6
340,15.06,7.49,9.63
350,16.37,7.21,9.26
360,16.79,6.96,8.58
370,16.82,6.93,8.23
380,16.13,6.7,8.08
390,15.08,6.52,7.95
400,14.11,6.0,7.44
410,13.24,5.38,6.87
420,12.02,4.47,6.55
430,10.79,3.32,6.19
440,9.12,2.3,5.92
450,7.22,1.53,5.83
460,5.07,0.86,6.02
470,3.1,0.45,6.52
480,0.9,-0.28,7.01
490,-1.82,-1.5,7.42
500,-4.78,-2.51,8.02
510,-7.68,-3.52,8.3
520,-10.32,-4.08,8.16
530,-12.38,-4.33,7.97
540,-13.97,-4.42,7.77
550,-15.29,-4.53,7.84
560,-16.34,-4.9,8.16
570,-17.85,-5.66,8.6
580,-19.58,-6.62,9.0
590,-21.68,-7.89,8.97
600,-24.62,-9.62,8.74
610,-28.29,-11.52,8.89
620,-32.09,-13.49,9.2
630,-35.02,-15.34,9.66
640,-36.18,-16.96,10.2
650,-34.96,-17.73,10.93
660,-31.78,-17.65,11.37
670,-27.24,-17.28,10.87
680,-21.58,-16.64,9.67
690,-15.26,-15.88,8.54
700,-8.71,-15.69,7.9
710,-1.85,-16.46,7.54
720,6.61,-16.41,8.4
730,15.92,-14.2,11.6
740,26.06,-10.26,15.61
750,35.05,-6.26,17.48
760,41.82,-1.88,17.98
770,46.88,1.08,18.47
780,49.28,3.26,18.53
790,48.98,5.1,18.32
800,46.84,5.63,17.64
810,44.03,5.1,16.8
820,41.38,4.45,16.57
830,40.0,3.7,16.62
840,39.36,2.81,16.58
850,37.62,1.45,16.02
860,34.92,-0.5,15.08
870,30.92,-3.31,13.92
880,25.06,-6.46,12.94
890,18.99,-9.62,11.84
900,13.95,-12.04,10.98
910,9.76,-13.63,10.72
920,5.77,-14.2,10.63
930,1.75,-14.31,9.84
940,-1.99,-14.06,8.94
950,-6.08,-14.41,8.63
960,-9.61,-15.95,9.36
970,-12.72,-17.71,11.64
980,-16.33,-19.4,14.64
990,-20.53,-20.15,17.07
1000,-23.85,-20.32,17.76
