timestamp,x,y,z
0,4.74,6.22,4.87
10,4.67,6.14,4.92
20,4.66,6.05,4.93
30,4.64,6.04,4.91
40,4.71,5.97,4.98
50,4.85,5.97,5.06
60,5.02,5.98,5.05
70,5.11,5.89,5.02
80,5.17,5.78,5.0
90,5.28,5.63,4.92
100,5.57,5.52,4.94
110,6.08,5.41,4.96
120,6.6,5.3,4.93
130,7.12,5.23,4.96
140,7.68,5.18,4.95
150,8.36,5.09,5.0
160,9.37,5.01,5.32
170,10.55,5.04,5.51
180,11.85,4.81,5.72
190,13.13,4.58,5.85
200,14.11,4.39,5.89
210,15.37,4.19,5.82
220,16.48,3.85,5.77
230,18.37,3.65,5.56
240,20.25,3.11,5.43
250,21.95,2.67,5.03
260,22.99,2.55,4.67
270,23.0,2.25,3.95
280,21.72,1.79,3.95
290,19.04,1.35,3.29
300,15.8,0.98,3.44
310,12.33,0.12,3.96
320,9.05,0.21,4.15
330,5.72,-0.3,3.93
340,2.98,-0.71,3.51
350,0.67,-1.03,3.28
360,-1.88,-1.34,3.22
370,-4.46,-1.59,3.5
380,-7.14,-1.73,4.1
390,-9.73,-1.9,5.4
400,-12.3,-2.02,6.72
410,-14.65,-2.23,7.56
420,-16.93,-2.6,7.89
430,-18.31,-2.71,7.98
440,-18.85,-2.82,7.82
450,-18.96,-2.43,7.81
460,-18.97,-2.18,8.39
470,-19.33,-1.88,8.91
480,-20.03,-1.82,9.21
490,-20.81,-1.91,9.57
500,-21.37,-2.07,9.84
510,-21.19,-2.57,10.05
520,-20.57,-3.26,10.14
530,-19.77,-3.86,10.3
540,-18.79,-4.33,10.5
550,-17.71,-4.97,10.76
560,-16.09,-5.5,11.21
570,-14.03,-6.17,11.77
580,-11.7,-6.84,12.24
590,-9.23,-7.54,12.43
600,-6.73,-8.13,12.54
610,-3.51,-8.27,12.65
620,-0.09,-8.07,12.84
630,3.21,-7.96,13.12
640,6.95,-7.81,13.06
650,10.33,-7.76,14.38
660,13.65,-7.27,15.59
670,16.52,-6.58,16.76
680,18.61,-6.0,16.27
690,19.55,-5.61,15.47
700,19.96,-5.45,14.86
710,20.89,-5.04,14.88
720,22.19,-4.25,14.78
730,23.39,-3.74,14.45
740,23.38,-3.24,13.4
750,22.79,-3.14,12.25
760,22.38,-3.12,11.48
770,22.41,-2.77,10.89
780,22.52,-2.82,10.95
790,22.5,-2.86,10.47
800,22.21,-3.1,9.99
810,21.42,-3.48,9.45
820,20.54,-3.7,9.08
830,19.46,-3.93,9.04
840,18.34,-4.27,8.72
850,17.25,-4.78,8.19
860,16.18,-4.98,7.49
870,15.21,-5.25,7.18
880,14.1,-5.45,7.17
890,12.58,-5.79,7.43
900,10.99,-6.2,8.14
910,9.04,-6.43,8.57
920,7.06,-6.38,8.75
930,5.17,-6.26,8.77
940,3.49,-6.34,9.1
950,1.54,-6.52,9.72
960,-0.78,-6.18,10.39
970,-3.24,-5.56,11.27
980,-5.49,-5.05,12.13
990,-7.59,-4.85,12.71
1000,-9.28,-4.91,13.24
