timestamp,x,y,z
0,2.0,5.63,6.76
10,2.55,5.54,6.79
20,2.62,5.37,7.04
30,2.55,5.24,7.13
40,2.37,5.08,7.23
50,2.23,4.95,7.4
60,2.25,4.86,7.57
70,2.2,4.63,7.66
80,1.64,4.52,7.95
90,1.25,4.48,8.38
100,0.95,4.4,8.83
110,0.73,4.3,9.26
120,0.46,4.11,9.83
130,0.44,3.9,10.24
140,0.11,3.62,10.59
150,-0.03,3.51,10.99
160,-0.1,3.6,11.21
170,-0.21,3.59,11.21
180,-0.33,3.61,10.96
190,-0.52,3.57,10.7
200,-0.57,3.66,10.39
210,-0.3,3.69,9.91
220,0.16,3.9,9.4
230,1.01,4.27,8.67
240,1.89,4.78,8.09
250,2.98,5.57,7.66
260,4.41,6.34,7.23
270,6.63,7.15,6.64
280,9.56,7.94,5.85
290,12.56,8.52,5.04
300,15.6,8.87,4.33
310,18.05,8.68,3.56
320,20.06,8.35,2.98
330,21.53,7.85,2.43
340,22.69,6.84,1.52
350,23.53,5.6,0.44
360,23.5,4.17,-0.53
370,22.85,2.67,-1.38
380,21.39,1.02,-1.89
390,18.67,-0.22,-1.66
400,14.86,-1.76,-0.22
410,10.63,-3.22,1.78
420,5.9,-3.69,4.12
430,1.16,-3.83,6.61
440,-3.5,-3.46,9.27
450,-7.83,-2.74,11.56
460,-11.7,-1.94,13.24
470,-13.94,-1.36,13.62
480,-15.2,-0.78,13.71
490,-15.8,-0.03,13.71
500,-15.27,0.58,13.39
510,-14.83,0.27,12.62
520,-14.29,-1.0,11.25
530,-13.64,-1.55,10.06
540,-13.34,-2.21,9.24
550,-13.31,-2.81,8.53
560,-13.2,-3.58,8.03
570,-13.11,-3.98,7.94
580,-12.88,-3.95,7.81
590,-12.63,-3.8,8.0
600,-12.23,-3.73,8.54
610,-11.57,-3.38,9.07
620,-10.64,-3.2,9.56
630,-9.56,-3.24,10.05
640,-8.53,-3.24,10.65
650,-7.6,-3.24,11.13
660,-6.69,-3.31,11.2
670,-5.52,-3.34,11.03
680,-4.37,-3.06,11.15
690,-3.15,-2.42,11.44
700,-1.98,-1.89,11.68
710,-0.8,-1.23,11.7
720,0.34,-0.49,11.76
730,1.54,0.05,11.81
740,2.78,0.57,11.72
750,4.15,0.9,11.24
760,5.76,1.24,10.82
770,7.35,1.35,10.27
780,9.22,1.38,9.53
790,11.02,1.37,8.83
800,12.94,1.71,8.13
810,14.93,2.18,7.52
820,16.48,2.65,6.63
830,17.58,3.27,6.31
840,18.33,4.08,6.44
850,18.92,4.71,6.73
860,19.59,5.2,7.03
870,20.24,5.63,7.4
880,20.67,5.88,7.68
890,21.04,5.91,7.95
900,21.33,5.82,8.03
910,21.53,5.5,7.92
920,21.44,4.88,7.72
930,20.93,3.88,7.42
940,19.91,2.78,6.93
950,18.43,1.67,6.43
960,16.95,0.66,5.9
970,15.42,-0.43,5.4
980,14.03,-1.55,4.98
990,12.53,-2.63,4.86
1000,10.75,-3.55,5.07
