timestamp,x,y,z
0,-0.72,3.39,8.56
10,-0.8,3.29,8.47
20,-0.95,3.18,8.54
30,-0.84,3.24,8.59
40,-0.63,3.31,8.56
50,-0.45,3.39,8.44
60,-0.43,3.33,8.22
70,-0.43,3.2,7.88
80,-0.39,3.16,7.69
90,-0.15,3.29,7.58
100,0.07,3.5,7.62
110,0.2,3.68,7.49
120,0.18,3.78,7.37
130,-0.02,3.78,7.35
140,-0.24,3.7,7.33
150,-0.42,3.59,7.43
160,-0.44,3.5,7.59
170,-0.38,3.51,7.69
180,-0.38,3.62,7.75
190,-0.51,3.89,7.85
200,-0.66,4.22,7.98
210,-0.85,4.38,8.05
220,-1.09,4.38,8.04
230,-1.42,4.27,8.03
240,-1.88,4.47,8.03
250,-2.37,4.4,8.34
260,-2.71,3.96,8.6
270,-3.0,3.33,8.86
280,-2.84,2.89,9.06
290,-2.04,2.7,9.28
300,-0.65,2.71,9.52
310,1.5,2.85,9.71
320,4.16,3.13,9.91
330,7.38,3.35,9.79
340,11.38,3.72,9.68
350,15.45,4.15,9.55
360,18.92,4.34,9.28
370,20.95,4.19,9.35
380,22.02,4.19,9.49
390,22.18,3.96,9.41
400,22.06,3.63,9.01
410,21.61,3.09,8.38
420,20.41,2.19,7.65
430,18.41,1.1,7.06
440,15.87,0.05,6.5
450,12.28,-0.88,5.81
460,8.21,-1.67,5.64
470,4.32,-2.45,5.71
480,0.85,-3.15,5.82
490,-2.32,-3.8,6.29
500,-5.7,-4.43,6.84
510,-9.03,-4.8,7.36
520,-12.13,-5.43,7.68
530,-14.87,-6.01,7.95
540,-16.8,-6.39,8.47
550,-18.12,-6.32,8.9
560,-19.07,-6.06,8.91
570,-19.64,-5.69,8.36
580,-20.21,-5.34,7.24
590,-20.97,-5.2,5.74
600,-22.34,-5.56,4.11
610,-24.05,-6.04,2.7
620,-25.32,-6.88,1.9
630,-26.19,-7.72,1.72
640,-26.67,-8.78,2.02
650,-26.45,-9.76,2.57
660,-25.63,-10.48,3.52
670,-23.79,-10.86,4.66
680,-21.17,-11.04,5.37
690,-18.04,-10.96,5.5
700,-14.46,-10.92,5.72
710,-10.55,-10.79,5.91
720,-6.62,-11.05,6.11
730,-2.48,-11.4,6.93
740,2.32,-11.31,8.51
750,8.25,-10.25,10.83
760,14.65,-8.24,13.1
770,20.63,-5.67,14.29
780,24.9,-2.99,15.08
790,27.88,-0.3,15.84
800,29.36,2.14,16.93
810,29.89,4.25,17.81
820,29.5,5.48,17.44
830,28.03,5.12,16.24
840,26.69,4.76,15.03
850,25.58,4.02,14.5
860,24.53,3.13,14.31
870,23.64,2.47,14.38
880,22.76,1.63,14.3
890,21.64,0.54,14.33
900,19.94,-0.66,13.76
910,17.6,-2.12,13.09
920,14.69,-3.73,12.17
930,11.63,-4.78,11.02
940,8.86,-5.58,9.94
950,5.99,-6.4,9.01
960,3.2,-6.97,8.27
970,0.46,-7.57,7.83
980,-2.1,-7.62,7.39
990,-5.46,-7.82,7.04
1000,-8.6,-8.34,6.68
