timestamp,x,y,z
0,3.16,5.08,4.54
10,2.94,5.13,4.34
20,2.89,4.95,4.06
30,2.87,4.94,3.96
40,2.88,5.09,3.96
50,2.89,5.06,4.18
60,2.69,5.12,4.28
70,2.39,5.09,4.41
80,2.09,4.98,4.42
90,1.79,4.89,4.46
100,1.71,4.8,4.58
110,1.82,4.86,4.74
120,2.13,4.94,4.87
130,2.53,5.2,4.99
140,3.04,5.41,5.03
150,3.55,5.56,5.06
160,4.1,5.69,5.11
170,4.74,5.72,5.18
180,5.67,5.88,5.26
190,6.66,5.81,5.21
200,8.09,6.08,5.34
210,9.54,6.23,5.42
220,11.08,6.23,5.69
230,12.05,6.3,5.98
240,13.64,6.07,6.24
250,14.89,6.17,6.02
260,15.78,6.22,5.71
270,16.03,6.18,5.41
280,15.74,5.93,5.3
290,15.09,5.52,5.19
300,14.12,5.45,4.93
310,12.73,5.61,4.77
320,10.67,5.38,4.81
330,7.51,4.73,5.2
340,4.18,3.87,5.62
350,0.94,2.87,5.78
360,-2.12,1.92,6.44
370,-4.95,1.33,7.49
380,-7.73,0.72,8.6
390,-9.97,0.54,9.68
400,-11.15,0.68,10.29
410,-10.84,1.27,10.21
420,-9.61,2.03,9.88
430,-8.16,2.94,9.63
440,-6.61,3.75,9.67
450,-5.25,4.33,9.53
460,-4.18,4.62,8.86
470,-3.64,4.89,8.0
480,-3.71,4.99,7.29
490,-4.93,4.6,6.81
500,-6.57,3.85,6.63
510,-8.36,3.07,6.55
520,-9.86,2.42,6.9
530,-10.97,1.83,7.24
540,-12.03,1.4,7.35
550,-12.58,0.96,7.17
560,-12.88,0.4,6.65
570,-12.49,0.14,6.34
580,-11.54,-0.38,6.05
590,-9.78,-0.93,6.1
600,-7.02,-1.0,6.49
610,-3.09,-0.11,7.22
620,1.54,1.45,7.87
630,6.08,3.16,8.21
640,9.98,4.3,8.44
650,13.09,5.01,8.27
660,15.31,5.27,7.92
670,16.83,5.46,7.93
680,17.71,5.79,8.04
690,18.22,6.0,8.23
700,18.78,5.84,8.53
710,18.75,6.0,8.81
720,19.08,5.94,8.71
730,19.48,5.67,8.44
740,19.84,5.59,8.28
750,20.31,5.38,7.83
760,20.55,5.26,7.38
770,20.25,5.19,6.91
780,19.33,4.97,6.51
790,17.71,4.6,6.13
800,15.68,3.97,6.05
810,13.07,3.12,6.18
820,10.46,2.32,6.62
830,7.39,1.4,7.47
840,3.83,0.55,8.36
850,0.98,-0.04,9.02
860,-1.23,-0.43,9.56
870,-3.16,-0.55,10.09
880,-4.94,-0.5,10.77
890,-6.66,-0.44,11.36
900,-7.91,-0.33,11.82
910,-8.4,-0.1,12.17
920,-8.24,0.36,12.51
930,-7.63,1.0,12.68
940,-6.97,1.45,12.6
950,-6.49,1.86,12.36
960,-5.88,2.15,11.9
970,-5.09,2.55,11.4
980,-4.32,2.93,10.92
990,-3.68,3.14,10.34
1000,-3.11,3.23,9.72
