timestamp,x,y,z
0,3.48,4.46,7.48
10,3.42,4.36,7.44
20,3.37,4.32,7.39
30,3.41,4.34,7.4
40,3.48,4.34,7.34
50,3.51,4.33,7.33
60,3.45,4.31,7.35
70,3.38,4.25,7.3
80,3.31,4.14,7.2
90,3.26,4.05,7.1
100,3.22,4.03,7.13
110,3.24,4.06,7.21
120,3.28,4.15,7.22
130,3.29,4.23,7.29
140,3.27,4.31,7.33
150,3.19,4.27,7.37
160,3.13,4.17,7.4
170,3.11,4.13,7.36
180,3.17,4.14,7.37
190,3.36,4.18,7.37
200,3.59,4.23,7.36
210,3.93,4.23,7.35
220,4.66,4.23,7.34
230,5.76,4.33,7.18
240,7.26,4.61,6.79
250,8.81,5.13,6.21
260,10.2,5.26,5.4
270,11.1,5.03,4.43
280,11.66,4.84,3.47
290,11.76,4.03,2.44
300,11.36,3.01,1.41
310,11.06,1.87,0.1
320,10.49,0.57,-1.12
330,9.7,-0.49,-1.9
340,8.85,-1.54,-2.15
350,7.74,-2.44,-1.92
360,6.41,-3.44,-1.01
370,4.71,-4.45,0.39
380,2.39,-5.04,1.69
390,0.51,-5.19,2.78
400,-0.39,-5.08,3.62
410,-0.24,-4.9,4.31
420,0.32,-4.91,5.15
430,0.32,-5.03,6.41
440,-0.25,-5.11,8.02
450,-1.19,-4.85,9.58
460,-2.09,-4.43,11.22
470,-2.93,-3.98,12.96
480,-3.56,-3.45,14.7
490,-3.95,-3.48,15.95
500,-4.19,-3.85,16.42
510,-3.78,-4.15,16.29
520,-3.16,-3.99,16.2
530,-2.59,-3.47,16.92
540,-2.55,-2.61,18.5
550,-2.16,-1.36,20.57
560,-1.31,-0.23,22.19
570,-0.06,0.59,23.21
580,1.3,1.24,23.7
590,2.78,1.53,23.54
600,4.18,1.45,22.79
610,5.2,1.01,21.64
620,6.07,0.39,20.72
630,7.25,-0.27,19.76
640,8.26,-0.76,19.23
650,9.53,-1.03,19.04
660,10.81,-1.2,19.1
670,12.14,-1.45,19.12
680,13.54,-1.87,18.99
690,14.85,-2.35,18.63
700,16.12,-3.03,18.16
710,17.63,-3.66,17.46
720,19.18,-4.3,16.7
730,20.35,-4.95,15.74
740,20.97,-5.33,14.75
750,20.99,-5.79,14.01
760,20.54,-6.38,13.66
770,19.98,-6.85,12.96
780,19.14,-7.24,12.17
790,18.38,-7.54,11.33
800,17.56,-8.09,10.38
810,16.37,-8.63,9.58
820,15.11,-9.24,8.73
830,14.0,-10.05,7.28
840,12.76,-10.82,5.57
850,11.16,-11.01,3.87
860,9.62,-10.67,2.51
870,8.44,-9.84,1.61
880,7.15,-8.94,0.91
890,5.65,-7.76,0.93
900,3.93,-6.23,1.12
910,2.34,-4.84,1.29
920,0.86,-3.7,1.21
930,-0.95,-2.85,1.22
940,-2.97,-2.32,1.3
950,-4.83,-1.96,1.51
960,-6.42,-1.48,1.91
970,-7.5,-0.93,2.36
980,-8.2,-0.28,3.07
990,-8.45,0.32,4.01
1000,-8.06,1.02,4.73
