timestamp,x,y,z
0,-0.23,3.23,8.5
10,-0.06,3.33,8.49
20,0.2,3.39,8.5
30,0.53,3.49,8.53
40,0.94,3.65,8.55
50,1.39,3.83,8.63
60,1.86,4.11,8.68
70,2.32,4.3,8.74
80,2.64,4.41,8.7
90,2.9,4.43,8.71
100,3.15,4.42,8.78
110,3.59,4.49,8.82
120,4.16,4.64,8.83
130,4.6,4.67,8.58
140,5.02,4.37,8.25
150,5.13,4.05,7.74
160,5.26,3.76,7.2
170,5.34,3.31,6.59
180,5.44,2.72,5.96
190,5.55,2.14,5.44
200,5.46,1.53,5.07
210,5.27,0.97,4.79
220,5.0,0.42,4.5
230,4.71,-0.06,3.96
240,4.46,-0.53,3.47
250,3.97,-1.13,3.07
260,3.16,-1.88,2.78
270,2.4,-2.51,2.53
280,1.75,-2.79,2.55
290,1.22,-2.77,2.87
300,0.45,-2.75,3.37
310,-0.54,-2.95,3.78
320,-1.76,-3.44,4.24
330,-3.01,-3.95,4.5
340,-3.76,-4.44,4.88
350,-4.12,-4.84,6.0
360,-5.21,-5.18,7.54
370,-6.07,-4.81,9.53
380,-6.75,-4.29,10.99
390,-7.34,-4.37,12.71
400,-8.11,-4.49,14.57
410,-9.12,-4.38,16.47
420,-9.29,-3.84,18.42
430,-8.36,-2.95,19.81
440,-6.61,-1.83,20.65
450,-5.26,-0.68,21.12
460,-4.42,0.45,21.22
470,-3.91,1.16,20.72
480,-3.63,1.31,19.54
490,-3.45,1.03,18.25
500,-2.89,0.79,17.54
510,-2.08,0.8,16.59
520,-0.37,0.74,15.85
530,1.32,0.92,14.95
540,3.12,1.53,14.23
550,4.57,2.03,13.24
560,5.45,2.16,12.33
570,5.83,1.81,11.5
580,6.44,1.38,10.77
590,7.84,1.08,10.42
600,8.9,1.57,10.93
610,10.06,2.49,11.88
620,10.78,2.51,12.71
630,11.57,2.06,13.15
640,12.43,1.25,13.2
650,13.3,0.44,13.56
660,13.85,-0.08,14.04
670,14.25,0.04,14.75
680,14.77,0.51,15.14
690,15.21,0.57,15.18
700,15.6,-0.06,14.65
710,15.6,-0.76,13.39
720,15.17,-1.39,12.4
730,14.25,-2.05,11.62
740,13.14,-2.57,10.9
750,12.06,-3.15,10.05
760,11.28,-3.67,9.08
770,10.46,-3.9,8.18
780,9.59,-3.91,7.24
790,8.72,-3.88,6.4
800,7.85,-3.63,5.5
810,6.9,-3.48,4.83
820,5.71,-3.43,4.18
830,4.38,-3.37,3.56
840,2.81,-3.42,2.85
850,1.14,-3.25,2.16
860,-0.38,-2.89,1.66
870,-1.82,-2.31,1.48
880,-2.8,-1.79,1.84
890,-3.68,-1.28,2.36
900,-4.58,-0.59,2.99
910,-5.18,0.17,3.91
920,-5.5,0.84,4.63
930,-5.59,1.18,4.99
940,-5.48,1.19,5.08
950,-5.26,1.39,5.33
960,-4.99,1.73,5.88
970,-4.56,2.28,6.54
980,-3.93,2.82,7.24
990,-3.11,3.33,7.66
1000,-2.56,3.68,8.06
