timestamp,x,y,z
0,1.94,4.78,7.37
10,1.91,4.75,7.38
20,1.89,4.75,7.37
30,1.9,4.8,7.41
40,2.08,4.79,7.44
50,2.32,4.93,7.39
60,2.68,4.94,7.4
70,3.13,5.01,7.41
80,3.78,5.03,7.49
90,4.4,5.13,7.63
100,5.06,5.18,7.57
110,5.56,5.32,7.18
120,6.3,4.91,7.04
130,6.86,4.95,6.87
140,7.66,4.98,6.73
150,8.72,5.09,6.64
160,9.77,5.16,6.4
170,10.37,4.95,5.81
180,10.62,4.5,4.82
190,10.26,3.77,3.73
200,9.34,2.77,2.84
210,8.45,1.8,2.08
220,7.6,0.88,1.53
230,6.46,0.11,1.27
240,5.82,-0.57,0.98
250,5.71,-1.0,1.16
260,5.64,-0.9,1.91
270,4.91,-1.12,2.94
280,3.9,-1.62,3.68
290,3.08,-2.29,3.81
300,2.5,-2.94,3.58
310,1.79,-3.46,3.34
320,0.96,-3.87,3.26
330,0.44,-3.99,3.35
340,0.06,-3.87,3.57
350,-0.21,-3.79,4.31
360,-1.0,-3.84,5.33
370,-2.03,-4.03,6.55
380,-3.23,-4.26,7.73
390,-4.44,-4.55,8.66
400,-5.46,-4.74,9.76
410,-6.35,-4.91,10.81
420,-6.85,-4.84,11.43
430,-7.08,-4.89,11.78
440,-7.0,-4.72,12.1
450,-6.93,-4.56,13.33
460,-6.95,-4.17,14.53
470,-6.87,-3.46,15.91
480,-6.71,-2.79,17.24
490,-6.53,-2.58,18.12
500,-6.55,-2.55,18.77
510,-6.48,-2.68,19.13
520,-6.12,-2.88,19.7
530,-5.14,-2.9,20.29
540,-3.73,-2.58,20.74
550,-2.14,-2.02,20.86
560,-0.57,-1.13,20.78
570,0.95,-0.38,20.21
580,2.13,-0.08,19.41
590,3.17,-0.32,18.7
600,3.93,-0.79,18.46
610,5.1,-0.96,18.25
620,6.18,-0.82,18.24
630,6.94,-0.6,18.13
640,7.42,-0.63,17.5
650,7.71,-1.06,16.66
660,7.85,-1.91,16.07
670,8.35,-2.65,15.66
680,9.18,-2.94,15.38
690,10.06,-2.82,15.27
700,10.75,-2.61,14.91
710,11.27,-2.64,14.33
720,11.74,-2.87,13.61
730,12.23,-3.18,12.95
740,12.62,-3.41,12.3
750,12.91,-3.2,12.0
760,12.88,-3.05,11.5
770,12.62,-3.01,10.81
780,12.02,-3.11,10.06
790,11.3,-3.27,9.37
800,10.55,-3.49,8.71
810,9.94,-3.58,8.15
820,9.29,-3.36,7.85
830,8.59,-3.23,7.54
840,8.0,-2.98,7.01
850,7.43,-2.73,6.53
860,6.85,-2.56,6.17
870,6.51,-2.39,5.77
880,6.29,-2.06,5.33
890,5.99,-1.8,4.88
900,5.6,-1.59,4.52
910,5.15,-1.47,4.15
920,4.74,-1.43,3.79
930,4.43,-1.18,3.45
940,4.08,-0.82,3.01
950,3.69,-0.51,2.66
960,2.94,-0.15,2.43
970,1.98,-0.02,2.35
980,0.91,0.21,2.3
990,0.06,0.4,2.46
1000,-0.86,0.76,2.75
