timestamp,x,y,z
0,2.18,4.07,7.8
10,2.17,4.03,7.78
20,2.22,4.0,7.78
30,2.21,4.0,7.76
40,2.25,4.03,7.76
50,2.3,4.02,7.75
60,2.43,3.99,7.72
70,2.65,3.98,7.74
80,3.01,4.04,7.73
90,3.56,4.17,7.77
100,4.29,4.38,7.77
110,5.25,4.6,7.8
120,6.47,4.82,7.74
130,7.66,5.28,7.66
140,8.64,5.56,7.54
150,9.24,5.42,7.02
160,9.47,4.88,6.06
170,9.39,3.94,4.88
180,9.5,3.06,3.62
190,10.05,2.37,2.48
200,10.7,2.12,1.73
210,11.05,1.83,1.39
220,10.69,1.44,1.48
230,9.98,0.89,1.67
240,8.94,0.13,1.67
250,7.68,-0.83,1.51
260,6.46,-1.89,1.14
270,5.37,-2.63,0.99
280,4.51,-3.18,1.28
290,3.85,-3.6,1.88
300,3.09,-3.88,2.96
310,2.21,-4.13,4.28
320,1.1,-4.56,5.69
330,-0.23,-4.87,6.96
340,-1.3,-4.99,7.92
350,-2.3,-5.2,8.52
360,-3.37,-5.59,9.2
370,-4.46,-6.02,10.11
380,-5.42,-6.35,11.28
390,-6.09,-6.04,12.62
400,-6.38,-5.72,14.32
410,-7.01,-5.48,16.32
420,-7.43,-4.96,18.52
430,-7.22,-4.51,20.18
440,-6.21,-3.85,20.95
450,-4.47,-2.95,21.24
460,-2.42,-1.83,21.37
470,-0.54,-0.66,21.38
480,1.17,0.14,20.97
490,2.74,0.72,20.35
500,3.65,1.15,19.79
510,4.17,1.43,19.33
520,4.68,1.31,19.04
530,5.45,0.77,18.77
540,6.57,-0.04,18.83
550,7.95,-0.88,18.84
560,9.86,-1.63,18.73
570,12.07,-2.05,18.12
580,14.02,-2.18,17.48
590,15.65,-2.32,17.16
600,17.09,-2.54,17.01
610,18.36,-2.99,16.67
620,19.53,-3.62,16.14
630,20.59,-4.06,15.59
640,21.35,-4.29,15.02
650,21.61,-4.49,14.35
660,21.48,-4.7,13.56
670,21.2,-5.09,12.75
680,20.68,-5.47,12.04
690,20.01,-5.66,11.42
700,19.35,-5.83,10.64
710,18.32,-5.89,9.85
720,17.04,-5.93,9.29
730,15.87,-6.16,8.68
740,14.81,-6.58,7.89
750,13.92,-6.99,7.09
760,12.88,-7.3,6.34
770,11.75,-7.36,5.8
780,10.69,-7.13,5.39
790,9.79,-6.49,4.99
800,9.0,-5.82,4.43
810,8.18,-5.09,3.77
820,7.32,-4.29,3.05
830,6.23,-3.65,2.31
840,4.88,-2.99,1.48
850,3.28,-2.11,0.74
860,1.36,-1.33,0.31
870,-0.72,-0.72,-0.0
880,-2.99,-0.3,-0.17
890,-5.31,-0.04,0.01
900,-7.34,0.02,0.56
910,-8.86,-0.06,1.37
920,-9.55,0.09,2.36
930,-9.37,0.59,3.43
940,-8.61,1.32,4.46
950,-7.52,2.0,5.31
960,-6.04,2.79,6.01
970,-4.34,3.73,6.57
980,-2.78,4.45,7.0
990,-1.46,5.01,7.2
1000,-0.26,5.41,7.16
