timestamp,x,y,z
0,2.66,3.33,7.73
10,2.73,3.35,7.76
20,2.81,3.43,7.87
30,2.88,3.52,7.98
40,2.89,3.56,8.12
50,2.83,3.57,8.21
60,2.7,3.53,8.3
70,2.6,3.45,8.3
80,2.53,3.43,8.35
90,2.53,3.45,8.4
100,2.53,3.45,8.52
110,2.52,3.45,8.65
120,2.5,3.46,8.77
130,2.54,3.39,8.7
140,2.53,3.36,8.55
150,2.59,3.37,8.32
160,2.7,3.29,8.05
170,2.75,3.23,7.78
180,2.82,3.24,7.67
190,2.86,3.21,7.67
200,2.88,3.2,7.71
210,2.8,3.16,7.8
220,2.78,3.14,7.89
230,2.83,3.17,7.92
240,2.92,3.27,7.92
250,3.08,3.35,7.97
260,3.18,3.46,7.97
270,3.22,3.51,7.97
280,3.23,3.44,7.96
290,3.24,3.41,7.97
300,3.36,3.37,8.03
310,3.76,3.39,8.02
320,4.53,3.76,8.12
330,5.65,4.39,8.19
340,6.94,4.78,8.01
350,7.95,4.86,7.6
360,8.83,4.64,7.0
370,9.45,4.39,6.61
380,10.05,4.18,6.29
390,10.65,3.89,5.9
400,11.11,3.51,5.38
410,11.33,2.99,4.92
420,11.01,2.24,4.53
430,10.14,1.34,4.14
440,9.07,0.14,3.57
450,7.78,-0.53,3.16
460,6.44,-0.92,2.97
470,5.22,-1.41,2.83
480,4.01,-2.07,2.73
490,2.73,-2.71,2.87
500,1.54,-3.39,3.2
510,0.2,-3.56,3.86
520,-1.17,-3.56,4.76
530,-2.59,-3.76,5.39
540,-3.68,-4.08,5.74
550,-4.4,-4.57,5.77
560,-4.91,-4.87,6.05
570,-4.89,-5.03,6.99
580,-4.8,-5.0,8.42
590,-4.88,-4.73,10.32
600,-5.13,-4.42,12.78
610,-5.43,-3.89,15.05
620,-5.78,-3.63,17.21
630,-5.49,-2.93,19.2
640,-4.7,-2.34,20.77
650,-4.25,-2.03,22.13
660,-3.78,-2.11,22.9
670,-2.35,-2.18,22.84
680,-0.33,-2.17,22.57
690,1.81,-1.44,22.26
700,4.76,-0.15,22.0
710,6.9,0.82,21.23
720,7.99,1.12,20.65
730,9.39,1.15,19.55
740,10.1,0.87,18.55
750,10.86,0.51,17.52
760,11.6,-0.04,16.75
770,12.05,-0.79,16.07
780,12.84,-2.14,15.42
790,14.91,-2.89,13.78
800,16.9,-3.11,12.06
810,18.16,-3.2,10.25
820,17.96,-3.63,8.82
830,18.44,-3.86,6.94
840,19.25,-4.58,5.58
850,17.94,-5.02,4.91
860,16.8,-5.92,4.89
870,14.88,-6.4,4.72
880,12.62,-7.16,3.95
890,9.94,-8.56,2.66
900,6.98,-9.45,1.36
910,4.09,-9.27,0.52
920,2.24,-8.15,0.47
930,1.25,-6.79,1.02
940,0.61,-5.66,1.66
950,-0.11,-4.41,2.57
960,-0.88,-2.96,3.98
970,-1.67,-1.99,5.0
980,-2.31,-1.2,5.83
990,-2.69,-0.55,6.51
1000,-2.87,-0.13,7.09
