timestamp,x,y,z
0,1.97,3.22,8.1
10,1.95,3.25,8.13
20,1.88,3.27,8.16
30,1.82,3.25,8.19
40,1.71,3.21,8.22
50,1.68,3.16,8.17
60,1.64,3.13,8.15
70,1.68,3.08,8.02
80,1.83,3.08,7.93
90,2.09,3.19,7.89
100,2.34,3.32,7.9
110,2.66,3.49,7.94
120,2.94,3.57,7.98
130,3.26,3.64,7.97
140,3.68,3.77,8.06
150,4.21,4.09,8.37
160,5.06,4.3,8.55
170,5.94,4.15,8.37
180,6.64,3.85,7.98
190,7.09,3.54,7.52
200,7.46,3.44,7.1
210,7.79,3.28,6.78
220,8.2,3.04,6.2
230,8.77,2.76,5.2
240,9.4,2.52,4.23
250,9.71,2.09,3.3
260,9.68,1.47,2.65
270,9.13,0.88,2.04
280,8.32,-0.12,1.82
290,6.94,-1.35,1.73
300,5.35,-2.68,1.69
310,3.64,-3.98,1.46
320,2.17,-4.85,1.23
330,1.26,-5.31,1.69
340,0.85,-5.39,2.26
350,0.8,-4.98,2.94
360,0.88,-4.38,3.75
370,0.91,-3.79,4.62
380,0.69,-3.42,5.39
390,-0.07,-3.27,5.73
400,-1.3,-3.74,5.75
410,-2.6,-4.7,5.52
420,-4.06,-5.56,5.82
430,-5.63,-6.38,7.26
440,-7.52,-6.76,9.14
450,-9.74,-7.36,11.35
460,-12.06,-7.52,13.78
470,-13.88,-7.28,15.97
480,-14.49,-6.83,18.06
490,-14.08,-6.38,19.82
500,-12.72,-5.77,21.05
510,-10.63,-4.73,21.95
520,-8.73,-3.55,22.44
530,-7.37,-2.43,22.41
540,-6.5,-1.68,22.05
550,-5.61,-1.25,21.76
560,-4.46,-1.11,21.71
570,-3.16,-1.16,22.01
580,-1.29,-0.91,22.26
590,0.98,-0.89,22.47
600,3.2,-0.97,22.8
610,5.39,-0.88,22.88
620,7.54,-0.35,22.66
630,9.53,0.26,22.29
640,11.11,0.71,21.69
650,11.83,0.5,20.82
660,11.94,-0.11,19.92
670,11.71,-1.13,19.11
680,11.71,-2.29,18.62
690,11.75,-3.17,18.1
700,11.83,-3.75,17.45
710,12.02,-4.05,16.71
720,12.17,-4.21,15.85
730,12.46,-4.11,14.75
740,12.8,-4.28,13.52
750,12.79,-4.52,12.04
760,12.31,-4.92,10.51
770,11.86,-5.38,9.13
780,11.36,-5.86,8.15
790,10.97,-6.2,7.2
800,10.4,-6.34,6.74
810,10.15,-6.26,6.13
820,10.18,-6.13,5.83
830,10.11,-5.76,5.59
840,10.01,-5.35,5.23
850,9.32,-5.24,4.66
860,7.65,-4.99,3.28
870,5.42,-4.95,1.7
880,2.38,-5.14,-0.86
890,-1.04,-5.44,-3.25
900,-4.13,-5.2,-4.88
910,-7.2,-4.3,-5.2
920,-9.83,-3.04,-4.62
930,-11.67,-1.41,-2.9
940,-12.44,0.37,-0.33
950,-12.18,1.89,2.57
960,-11.23,2.9,5.03
970,-9.9,3.39,7.11
980,-8.48,3.34,8.7
990,-6.97,3.14,9.74
1000,-5.5,3.19,10.57
