timestamp,x,y,z
0,3.24,4.33,7.31
10,3.29,4.34,7.29
20,3.36,4.38,7.19
30,3.48,4.41,7.13
40,3.63,4.43,7.11
50,3.69,4.46,7.13
60,3.77,4.47,7.17
70,3.86,4.48,7.15
80,3.9,4.48,7.12
90,3.93,4.48,7.07
100,3.89,4.47,6.99
110,3.8,4.4,6.99
120,3.78,4.35,6.94
130,3.88,4.34,6.98
140,4.06,4.42,7.01
150,4.19,4.57,7.11
160,4.29,4.64,7.12
170,4.42,4.57,7.1
180,4.64,4.46,7.07
190,5.06,4.38,7.0
200,5.73,4.4,6.97
210,6.47,4.46,6.91
220,7.34,4.57,6.77
230,8.29,4.77,6.45
240,9.13,4.9,5.91
250,9.9,4.68,5.47
260,10.34,4.55,4.76
270,10.72,4.19,3.92
280,11.25,3.6,3.28
290,11.44,2.93,3.03
300,11.24,2.22,2.96
310,10.71,1.46,2.7
320,9.89,0.76,1.97
330,8.12,-0.21,1.05
340,6.62,-0.84,0.8
350,4.83,-1.59,0.42
360,3.58,-2.19,0.55
370,2.51,-2.39,0.99
380,1.62,-2.52,1.89
390,0.85,-2.55,3.02
400,0.28,-2.5,3.97
410,-0.1,-2.36,4.75
420,-0.56,-2.21,5.47
430,-1.08,-2.14,6.01
440,-1.56,-2.34,6.08
450,-1.98,-2.71,5.9
460,-2.41,-3.1,5.79
470,-2.49,-3.24,6.36
480,-2.94,-3.4,7.37
490,-3.58,-3.46,8.75
500,-4.28,-3.51,10.06
510,-4.9,-3.52,10.99
520,-5.31,-3.44,11.3
530,-5.48,-3.58,11.77
540,-5.48,-3.48,11.68
550,-5.03,-3.51,11.46
560,-4.37,-3.37,11.61
570,-3.84,-3.04,12.06
580,-3.34,-2.72,12.74
590,-3.09,-2.4,13.64
600,-2.9,-2.27,14.62
610,-2.83,-2.34,15.47
620,-2.73,-2.58,16.07
630,-2.51,-2.81,16.49
640,-2.21,-2.98,16.71
650,-1.84,-3.03,16.81
660,-1.57,-3.09,16.7
670,-1.26,-3.21,16.37
680,-0.82,-3.41,16.08
690,-0.0,-3.76,16.14
700,1.14,-3.97,16.4
710,2.62,-3.89,16.65
720,4.12,-3.47,16.7
730,5.42,-3.13,16.8
740,6.32,-2.75,16.68
750,6.67,-2.74,16.47
760,6.85,-3.52,16.33
770,7.22,-4.24,16.19
780,7.9,-4.44,16.28
790,8.89,-4.28,16.43
800,9.8,-3.97,16.56
810,10.42,-3.74,16.62
820,10.84,-3.82,16.57
830,11.19,-4.17,16.36
840,11.37,-4.59,16.15
850,11.59,-5.03,15.83
860,11.87,-5.29,15.34
870,12.09,-5.37,14.73
880,12.17,-5.5,13.81
890,12.23,-5.59,12.91
900,12.16,-5.59,12.23
910,12.05,-5.37,11.69
920,11.87,-5.25,11.13
930,11.62,-5.23,10.38
940,11.28,-5.25,9.55
950,10.95,-5.25,8.71
960,10.59,-5.29,7.87
970,10.35,-5.29,7.02
980,10.17,-5.16,6.26
990,10.07,-4.93,5.59
1000,9.79,-4.64,4.91
