timestamp,x,y,z
0,2.28,3.41,7.91
10,2.34,3.35,7.83
20,2.5,3.34,7.7
30,2.66,3.39,7.64
40,2.85,3.47,7.64
50,3.08,3.61,7.69
60,3.35,3.71,7.65
70,3.65,3.73,7.57
80,3.94,3.75,7.47
90,4.26,3.78,7.31
100,4.66,3.86,7.18
110,5.27,4.01,7.02
120,5.96,4.24,6.83
130,6.93,4.54,6.86
140,8.12,4.78,6.73
150,9.11,4.9,6.75
160,9.83,4.8,6.52
170,10.42,4.39,5.93
180,10.55,3.46,4.84
190,10.08,2.2,3.54
200,9.51,0.77,2.24
210,9.08,-0.38,1.34
220,8.48,-1.02,0.97
230,7.95,-1.47,0.83
240,7.49,-1.8,1.06
250,6.71,-2.21,1.61
260,5.73,-2.72,2.26
270,4.67,-3.21,3.02
280,3.67,-3.75,3.54
290,2.82,-4.23,3.71
300,1.74,-4.73,3.85
310,0.51,-5.53,3.73
320,-1.17,-6.4,3.42
330,-3.11,-6.77,3.66
340,-4.74,-7.57,4.41
350,-6.43,-8.12,5.78
360,-8.45,-8.74,7.58
370,-10.61,-8.96,10.02
380,-12.46,-8.95,13.19
390,-14.36,-8.81,16.13
400,-15.78,-8.47,18.71
410,-15.91,-7.46,21.15
420,-15.52,-6.48,22.87
430,-14.79,-5.8,23.66
440,-14.08,-5.35,23.99
450,-12.97,-4.62,24.34
460,-10.69,-3.51,24.88
470,-7.49,-1.79,25.64
480,-3.78,-0.47,25.65
490,-0.37,0.61,24.8
500,2.25,1.32,23.59
510,3.94,1.41,22.58
520,4.78,1.13,21.84
530,5.32,0.6,21.07
540,6.02,0.09,20.41
550,6.83,-0.38,19.83
560,8.5,-1.32,19.48
570,10.03,-1.69,18.84
580,10.89,-2.03,17.84
590,11.9,-2.27,16.17
600,12.71,-2.8,14.85
610,13.52,-3.31,13.76
620,13.7,-3.7,12.88
630,13.6,-3.99,11.83
640,13.69,-4.17,10.43
650,13.49,-4.27,9.25
660,12.74,-4.6,8.17
670,11.32,-5.1,7.2
680,10.07,-5.47,6.19
690,8.94,-5.73,5.08
700,7.5,-5.91,4.2
710,6.08,-5.94,3.52
720,4.69,-5.72,3.04
730,3.47,-5.25,2.58
740,2.17,-4.76,2.01
750,0.76,-4.03,1.38
760,-0.78,-3.29,0.79
770,-2.28,-2.51,0.37
780,-3.7,-1.72,0.32
790,-4.94,-0.95,0.68
800,-5.83,-0.07,1.47
810,-6.44,0.69,2.81
820,-6.81,1.37,4.17
830,-6.78,2.03,5.37
840,-6.41,2.41,6.21
850,-5.68,2.65,6.7
860,-4.98,2.9,6.99
870,-4.31,3.12,7.28
880,-3.57,3.52,7.51
890,-2.93,3.74,7.83
900,-2.41,3.89,8.16
910,-2.08,3.86,8.32
920,-1.81,3.71,8.4
930,-1.53,3.65,8.46
940,-1.37,3.49,8.61
950,-1.13,3.31,8.45
960,-1.03,3.14,8.34
970,-1.07,2.94,8.18
980,-1.05,2.78,8.02
990,-0.94,2.75,7.94
1000,-0.79,2.78,8.02
