timestamp,x,y,z
0,0.55,5.04,7.3
10,0.84,5.18,7.41
20,1.23,5.36,7.65
30,1.54,5.66,7.96
40,2.0,5.93,8.35
50,2.5,6.12,8.72
60,3.03,6.37,9.09
70,3.63,6.75,9.42
80,4.41,6.93,9.56
90,5.16,7.07,9.5
100,5.89,7.12,9.41
110,6.46,6.95,9.15
120,6.96,6.64,8.66
130,7.38,6.19,8.05
140,7.8,5.57,7.3
150,7.96,4.72,6.42
160,7.99,3.73,5.52
170,7.86,2.78,4.65
180,7.87,2.09,3.87
190,7.89,1.46,3.22
200,7.86,0.76,2.74
210,7.57,-0.19,2.15
220,7.11,-1.49,1.64
230,6.08,-2.69,1.28
240,4.99,-4.03,1.01
250,3.6,-5.02,1.21
260,2.04,-6.02,1.18
270,0.68,-6.9,1.03
280,-0.16,-7.31,1.14
290,-0.39,-7.4,1.55
300,-0.48,-7.22,2.26
310,-1.14,-7.2,3.14
320,-2.38,-7.71,3.84
330,-3.56,-8.72,4.36
340,-4.76,-9.76,4.92
350,-6.24,-10.34,6.2
360,-7.87,-10.83,8.34
370,-9.39,-11.17,10.57
380,-10.78,-11.08,13.27
390,-12.17,-10.8,16.44
400,-13.96,-10.27,19.43
410,-15.35,-9.42,21.9
420,-16.17,-8.71,24.09
430,-16.92,-8.03,26.29
440,-17.48,-7.24,27.84
450,-16.38,-5.79,28.41
460,-14.25,-3.42,28.57
470,-11.95,-0.97,28.16
480,-9.68,0.98,27.04
490,-6.91,2.38,25.69
500,-4.1,3.42,24.55
510,-1.2,4.04,23.73
520,1.44,4.35,23.1
530,4.14,4.99,22.39
540,6.45,5.69,21.67
550,7.7,5.87,20.87
560,8.57,5.47,20.34
570,9.2,4.71,19.48
580,9.69,3.88,18.64
590,10.09,3.17,18.19
600,10.64,2.53,17.77
610,11.63,2.0,17.05
620,12.84,1.57,16.42
630,14.2,1.21,15.72
640,15.84,1.02,15.39
650,17.27,0.95,14.98
660,18.21,1.07,14.46
670,18.72,0.85,13.67
680,18.35,0.2,12.69
690,17.3,-0.89,11.98
700,15.53,-2.24,11.57
710,13.69,-3.4,11.31
720,12.42,-3.81,10.93
730,11.57,-3.93,10.67
740,10.76,-4.01,10.35
750,9.87,-4.05,9.79
760,9.0,-4.1,8.82
770,8.26,-3.83,7.68
780,7.47,-3.72,6.41
790,6.64,-3.6,5.15
800,5.48,-3.49,3.58
810,4.31,-3.7,2.22
820,3.07,-3.53,1.48
830,1.6,-3.33,0.95
840,-0.25,-3.16,0.85
850,-1.99,-2.63,0.83
860,-3.37,-2.32,0.81
870,-4.33,-2.04,0.74
880,-5.14,-1.64,0.77
890,-5.81,-1.27,1.04
900,-6.21,-0.65,1.67
910,-6.38,0.1,2.34
920,-6.45,1.02,2.9
930,-6.31,2.1,3.55
940,-5.91,3.06,4.42
950,-5.19,3.85,5.34
960,-4.35,4.44,6.22
970,-3.29,5.05,7.06
980,-2.37,5.51,7.66
990,-1.74,5.83,7.97
1000,-1.51,5.77,7.92
