timestamp,x,y,z
0,2.75,6.21,6.12
10,2.77,6.15,6.16
20,2.78,6.07,6.27
30,2.81,6.04,6.32
40,2.85,6.02,6.28
50,2.86,5.98,6.25
60,2.78,5.97,6.22
70,2.78,5.92,6.14
80,2.87,5.94,6.07
90,2.92,5.98,6.0
100,2.93,5.86,5.96
110,2.88,5.68,5.92
120,2.77,5.5,5.88
130,2.8,5.3,5.77
140,2.92,5.19,5.63
150,3.13,5.2,5.49
160,3.44,5.08,5.36
170,3.85,4.59,5.16
180,4.1,3.79,4.81
190,4.5,2.74,4.05
200,5.44,1.77,2.78
210,6.69,1.28,1.4
220,7.88,1.11,0.12
230,8.75,0.79,-1.11
240,9.02,0.25,-1.91
250,7.73,-1.57,-1.05
260,6.85,-1.18,-3.27
270,4.65,-1.88,-4.24
280,3.02,-3.14,-4.61
290,1.19,-4.48,-4.35
300,-0.34,-5.57,-3.51
310,-0.92,-6.17,-2.17
320,-0.59,-6.3,-0.83
330,-0.73,-6.41,0.51
340,-1.15,-6.42,1.63
350,-1.12,-6.38,2.32
360,-0.75,-6.32,2.68
370,-0.25,-6.48,3.04
380,-0.1,-6.4,4.13
390,-0.12,-5.89,5.93
400,-0.39,-5.15,8.1
410,0.06,-4.49,10.03
420,0.4,-4.41,11.72
430,0.36,-4.64,14.06
440,0.54,-5.08,15.74
450,-0.02,-5.09,17.95
460,-1.05,-5.01,19.8
470,-1.86,-4.98,21.54
480,-2.06,-5.04,22.6
490,-2.24,-4.73,23.27
500,-2.09,-4.24,23.77
510,-1.51,-3.7,24.54
520,-0.9,-2.87,25.35
530,-0.22,-1.98,25.92
540,0.2,-1.37,26.2
550,0.4,-1.24,26.06
560,-0.11,-1.65,26.03
570,-1.15,-2.09,26.4
580,-1.88,-2.43,26.83
590,-2.21,-2.87,27.2
600,-2.15,-3.17,27.33
610,-1.74,-3.28,27.31
620,-1.18,-3.31,26.7
630,-0.85,-3.61,25.83
640,-0.41,-3.6,24.93
650,0.06,-3.58,24.36
660,1.03,-3.45,23.45
670,2.4,-3.42,22.42
680,3.56,-3.6,20.78
690,3.28,-3.77,19.36
700,2.83,-4.23,18.08
710,2.39,-4.7,16.6
720,2.1,-5.01,14.82
730,1.85,-5.34,12.79
740,1.66,-5.45,10.65
750,1.78,-5.37,8.61
760,1.92,-5.21,6.77
770,1.9,-4.85,5.3
780,1.64,-4.51,3.95
790,1.23,-4.31,2.8
800,0.82,-4.34,1.64
810,0.27,-4.29,0.63
820,-0.38,-4.14,-0.04
830,-0.98,-4.03,-0.34
840,-1.4,-3.85,-0.52
850,-1.54,-3.27,-0.27
860,-1.32,-2.73,-0.17
870,-1.19,-1.98,0.19
880,-1.09,-1.3,0.32
890,-0.78,-0.74,0.31
900,-0.38,-0.21,0.36
910,-0.02,0.43,0.65
920,0.55,1.1,0.77
930,1.02,1.75,1.04
940,1.04,2.27,1.51
950,1.0,2.7,1.98
960,0.82,2.76,2.55
970,0.41,2.83,3.15
980,0.38,3.1,3.9
990,0.55,3.48,4.49
1000,0.84,3.79,4.82
