timestamp,x,y,z
0,0.38,7.52,5.54
10,0.39,7.58,5.64
20,0.42,7.58,5.66
30,0.48,7.58,5.61
40,0.57,7.57,5.53
50,0.63,7.53,5.43
60,0.69,7.5,5.29
70,0.76,7.44,5.15
80,0.81,7.33,4.98
90,0.88,7.22,4.83
100,0.93,7.08,4.71
110,0.96,6.85,4.55
120,0.99,6.56,4.32
130,1.19,6.26,4.0
140,1.45,5.92,3.65
150,1.82,5.51,3.2
160,2.24,5.02,2.62
170,2.65,4.58,2.15
180,2.91,3.96,1.54
190,2.95,3.32,0.6
200,3.45,2.69,0.12
210,3.64,2.03,-0.68
220,3.62,1.29,-1.35
230,3.51,0.7,-1.86
240,3.49,0.07,-2.21
250,3.36,-0.62,-2.41
260,3.26,-1.36,-2.46
270,3.13,-2.03,-2.32
280,3.19,-2.48,-1.93
290,3.44,-2.83,-1.33
300,3.55,-3.14,-0.48
310,3.52,-3.49,0.38
320,3.24,-4.02,1.21
330,2.86,-4.68,1.91
340,2.68,-5.07,2.43
350,2.53,-5.42,2.99
360,2.55,-5.72,3.69
370,2.45,-5.8,5.03
380,1.85,-5.83,6.86
390,1.04,-6.0,9.03
400,0.6,-6.02,11.42
410,-0.03,-6.09,13.88
420,-0.56,-6.03,16.75
430,-0.92,-6.14,19.34
440,-2.11,-5.97,22.11
450,-3.91,-5.83,24.97
460,-5.05,-5.4,27.15
470,-4.56,-3.97,28.53
480,-3.34,-2.47,29.22
490,-2.6,-1.4,29.76
500,-2.1,-0.75,30.44
510,-1.85,-0.13,30.97
520,-1.54,0.83,31.12
530,-1.02,1.94,30.66
540,-0.28,2.7,29.61
550,0.51,2.91,28.1
560,1.01,2.78,26.56
570,1.42,2.53,25.21
580,1.78,2.38,24.09
590,2.33,2.22,23.16
600,2.74,1.92,22.45
610,2.77,1.39,22.06
620,2.72,0.72,21.61
630,2.59,0.06,21.16
640,2.37,-0.34,20.52
650,2.38,-0.61,19.49
660,2.8,-0.81,18.04
670,3.2,-0.97,16.42
680,3.5,-1.39,14.56
690,3.48,-1.64,12.96
700,3.32,-1.93,11.37
710,3.13,-2.19,10.02
720,2.79,-2.3,8.76
730,2.54,-2.28,7.46
740,2.4,-2.16,5.94
750,2.08,-2.13,4.49
760,1.72,-2.17,3.07
770,1.29,-2.43,1.56
780,0.79,-2.6,0.16
790,0.39,-2.59,-1.06
800,0.06,-2.61,-1.89
810,-0.23,-2.62,-2.26
820,-0.61,-2.58,-2.25
830,-1.02,-2.34,-2.07
840,-1.28,-1.72,-1.8
850,-1.09,-0.93,-1.43
860,-0.81,-0.3,-1.13
870,-0.85,0.24,-0.58
880,-0.96,0.87,-0.05
890,-0.79,1.73,0.35
900,-0.64,2.38,0.6
910,-0.69,2.82,0.73
920,-0.72,3.13,0.99
930,-0.86,3.26,1.55
940,-1.07,3.32,2.42
950,-1.31,3.43,3.47
960,-1.39,3.78,4.5
970,-1.38,4.15,5.37
980,-1.28,4.37,5.93
990,-1.13,4.6,6.26
1000,-0.94,4.96,6.61
