timestamp,x,y,z
0,2.08,5.72,5.37
10,2.03,5.74,5.26
20,1.99,5.8,5.18
30,1.99,5.76,5.09
40,2.0,5.71,4.97
50,2.02,5.68,4.91
60,2.11,5.64,4.89
70,1.96,5.47,4.81
80,1.93,5.4,4.72
90,2.1,5.28,4.54
100,2.11,5.11,4.34
110,2.1,4.98,4.23
120,2.17,4.82,4.12
130,2.26,4.58,3.99
140,2.29,4.3,3.89
150,2.1,3.93,3.9
160,2.69,3.42,3.52
170,3.2,3.01,3.07
180,3.48,2.46,2.63
190,3.44,1.83,1.87
200,3.49,1.09,1.02
210,3.52,0.66,0.4
220,3.77,0.31,-0.06
230,4.05,-0.04,-0.64
240,4.07,-0.53,-0.83
250,3.91,-1.24,-1.06
260,4.06,-1.33,-0.8
270,3.76,-1.72,-0.55
280,3.6,-2.21,0.0
290,3.44,-2.54,0.88
300,3.31,-2.79,1.83
310,3.21,-2.89,2.67
320,3.23,-3.01,3.38
330,3.0,-3.31,3.96
340,3.06,-3.33,4.65
350,2.62,-3.6,5.32
360,2.15,-3.56,6.14
370,2.01,-3.38,7.25
380,2.21,-3.33,8.77
390,1.82,-3.38,10.69
400,1.1,-3.61,12.47
410,0.28,-3.67,14.43
420,-2.04,-3.44,16.85
430,-3.27,-2.87,18.5
440,-2.66,-2.1,19.55
450,-1.73,-1.45,20.21
460,-1.43,-0.95,20.89
470,-1.13,-0.37,21.94
480,-0.79,0.48,23.22
490,-0.6,1.06,24.37
500,-0.69,1.6,25.35
510,-1.17,2.36,26.24
520,-1.5,3.09,27.02
530,-1.29,3.68,27.5
540,-0.67,3.98,27.35
550,0.17,4.2,26.96
560,0.54,4.22,26.19
570,0.84,4.0,25.14
580,1.14,3.68,23.83
590,1.33,3.24,22.63
600,1.47,2.88,21.77
610,1.52,2.64,21.11
620,1.6,2.26,20.49
630,1.53,1.67,19.97
640,1.04,1.0,19.4
650,0.35,0.23,18.48
660,-0.32,-0.62,17.13
670,-0.61,-1.41,15.66
680,-0.57,-1.8,13.75
690,-0.1,-1.93,12.05
700,0.51,-1.91,10.66
710,0.71,-1.79,9.55
720,1.12,-1.92,8.36
730,1.28,-1.94,7.32
740,1.35,-1.86,6.4
750,1.25,-1.81,5.47
760,1.09,-1.87,4.48
770,1.02,-1.9,3.68
780,0.65,-1.88,2.93
790,0.11,-1.84,2.44
800,-0.16,-1.8,2.1
810,-0.31,-1.57,1.76
820,-0.27,-1.33,1.64
830,-0.55,-1.06,1.6
840,-0.68,-0.88,1.65
850,-0.76,-0.65,1.64
860,-0.88,-0.31,1.67
870,-0.97,0.14,1.85
880,-0.97,0.59,1.98
890,-0.76,0.87,1.96
900,-0.68,1.3,2.15
910,-0.8,1.76,2.39
920,-1.03,2.03,2.8
930,-1.18,2.29,3.14
940,-1.4,2.47,3.63
950,-1.42,2.69,3.95
960,-1.44,3.06,4.38
970,-1.31,3.39,4.63
980,-1.23,3.59,4.71
990,-1.15,3.79,4.66
1000,-1.09,3.85,4.67
