timestamp,x,y,z
0,0.75,6.78,6.28
10,0.85,6.78,6.31
20,0.93,6.79,6.33
30,1.01,6.82,6.28
40,1.07,6.75,6.17
50,1.1,6.6,5.97
60,1.07,6.46,5.79
70,1.09,6.37,5.6
80,1.11,6.19,5.38
90,1.14,6.0,5.22
100,1.13,5.77,4.97
110,1.19,5.48,4.71
120,1.34,5.21,4.58
130,1.5,4.97,4.47
140,1.71,4.59,4.26
150,2.01,4.13,3.92
160,2.38,3.6,3.51
170,2.85,3.07,2.95
180,3.42,2.68,2.32
190,3.79,2.16,1.58
200,3.96,1.7,0.93
210,4.08,1.05,0.2
220,3.97,0.47,-0.33
230,3.84,-0.15,-0.83
240,3.67,-0.78,-1.18
250,3.55,-1.5,-1.44
260,3.46,-2.08,-1.53
270,3.61,-2.99,-1.6
280,3.32,-3.96,-0.93
290,2.4,-5.06,-0.57
300,1.46,-6.0,0.11
310,0.92,-6.4,0.97
320,0.57,-6.47,1.64
330,1.0,-6.16,2.5
340,2.19,-5.4,3.22
350,3.37,-4.55,4.07
360,4.13,-4.07,5.56
370,4.0,-3.71,8.24
380,3.9,-3.46,11.95
390,2.25,-3.53,16.16
400,0.53,-3.51,20.14
410,-0.68,-2.98,22.93
420,-1.51,-2.28,24.45
430,-2.42,-1.64,25.13
440,-2.39,-1.09,24.56
450,-2.38,0.05,24.51
460,-1.42,1.0,23.75
470,-0.95,2.28,24.15
480,-0.52,3.3,24.37
490,0.09,3.81,24.68
500,-0.05,3.92,25.16
510,-0.51,3.76,25.54
520,-1.17,3.44,25.9
530,-1.93,2.91,26.16
540,-2.37,2.38,26.22
550,-2.19,2.11,25.99
560,-1.49,2.16,25.28
570,-0.46,2.2,24.35
580,0.59,2.16,23.45
590,1.47,2.08,22.67
600,1.86,1.83,22.04
610,1.9,1.31,21.48
620,1.88,0.61,20.69
630,1.84,-0.1,19.68
640,1.9,-0.67,18.51
650,2.02,-1.12,17.18
660,1.92,-1.7,15.47
670,1.87,-2.15,13.55
680,2.04,-2.42,11.56
690,2.13,-2.55,9.71
700,2.16,-2.4,8.2
710,1.89,-2.2,7.07
720,1.7,-2.02,6.03
730,1.53,-1.92,5.14
740,1.34,-1.81,4.25
750,1.0,-1.63,3.44
760,0.8,-1.56,2.73
770,0.56,-1.48,2.16
780,0.36,-1.34,1.69
790,0.2,-1.2,1.29
800,0.05,-1.03,1.0
810,-0.12,-0.76,0.93
820,-0.36,-0.41,1.13
830,-0.28,0.1,1.38
840,-0.31,0.59,1.61
850,-0.39,1.05,1.88
860,-0.36,1.36,2.13
870,-0.34,1.59,2.37
880,-0.45,1.79,2.6
890,-0.54,2.02,2.71
900,-0.52,2.43,2.9
910,-0.35,2.83,3.11
920,-0.32,3.19,3.33
930,-0.28,3.49,3.47
940,-0.27,3.74,3.55
950,-0.3,3.85,3.68
960,-0.36,3.98,3.91
970,-0.38,4.28,4.19
980,-0.35,4.55,4.36
990,-0.2,4.92,4.38
1000,0.0,5.18,4.39
