timestamp,x,y,z
0,2.59,3.26,8.38
10,2.73,3.26,8.39
20,2.8,3.28,8.42
30,2.91,3.19,8.35
40,2.85,3.07,8.29
50,2.74,3.01,8.28
60,2.66,2.98,8.28
70,2.67,3.05,8.29
80,2.73,3.11,8.27
90,2.76,3.16,8.15
100,2.89,3.17,7.88
110,2.99,3.09,7.54
120,3.06,2.99,7.13
130,3.13,2.92,6.81
140,3.26,2.91,6.5
150,3.34,2.86,6.27
160,3.41,2.78,6.04
170,3.43,2.75,5.89
180,3.55,2.72,5.8
190,3.77,2.67,5.65
200,3.82,2.59,5.48
210,3.88,2.33,5.13
220,3.75,2.04,4.86
230,3.59,1.72,4.51
240,3.49,1.34,4.02
250,3.34,0.8,2.98
260,3.88,0.43,1.99
270,3.88,0.22,1.28
280,4.19,-0.13,0.83
290,4.38,-0.5,0.46
300,4.6,-1.0,0.41
310,4.39,-1.42,0.52
320,4.04,-2.02,0.62
330,3.69,-2.83,0.55
340,3.37,-3.7,0.58
350,2.97,-4.43,0.98
360,2.6,-5.22,1.63
370,2.18,-5.87,2.48
380,1.57,-6.18,3.74
390,1.75,-6.02,4.79
400,2.24,-5.81,5.83
410,3.58,-5.29,6.76
420,4.94,-4.76,7.93
430,5.13,-4.58,8.91
440,4.8,-4.6,9.89
450,4.27,-4.87,11.2
460,3.2,-5.07,13.07
470,2.08,-5.03,15.66
480,1.46,-4.92,18.05
490,1.03,-4.86,19.64
500,0.59,-4.64,20.46
510,0.45,-4.22,20.85
520,1.2,-3.26,20.73
530,1.74,-2.29,20.81
540,2.43,-1.69,20.49
550,3.39,-1.08,19.74
560,3.4,-0.53,19.9
570,2.89,-0.56,20.73
580,2.41,-1.07,21.48
590,2.21,-1.28,22.41
600,2.72,-1.2,23.26
610,3.78,-1.4,23.76
620,4.49,-1.54,23.79
630,5.24,-1.64,23.37
640,5.71,-1.99,22.49
650,6.09,-2.37,21.53
660,6.04,-2.78,20.53
670,5.44,-3.37,19.47
680,4.76,-3.9,18.09
690,4.19,-4.16,16.42
700,3.57,-4.48,13.16
710,3.3,-4.53,11.04
720,3.09,-4.39,8.67
730,3.06,-4.0,6.49
740,3.18,-3.55,4.33
750,2.77,-3.08,2.33
760,2.54,-2.88,0.52
770,1.74,-2.43,-1.13
780,1.45,-2.41,-1.79
790,0.6,-2.37,-1.92
800,0.31,-2.03,-1.87
810,0.18,-1.8,-1.35
820,0.12,-1.57,-0.92
830,0.23,-1.23,-0.36
840,0.28,-0.96,0.34
850,0.17,-0.57,1.16
860,0.29,-0.22,2.03
870,0.3,0.11,2.89
880,0.25,0.5,3.67
890,0.34,0.77,4.26
900,0.5,0.95,4.85
910,0.67,1.11,5.42
920,0.83,1.18,6.06
930,0.75,1.32,6.7
940,0.77,1.49,7.12
950,0.78,1.68,7.53
960,0.84,1.91,7.82
970,1.03,2.07,7.96
980,1.36,2.1,8.1
990,1.67,2.23,8.26
1000,1.88,2.44,8.47
