timestamp,x,y,z
0,0.83,7.3,5.75
10,0.85,7.26,5.69
20,0.85,7.19,5.64
30,0.86,7.13,5.59
40,0.87,7.09,5.55
50,0.9,6.99,5.43
60,0.91,6.85,5.19
70,0.95,6.74,4.93
80,0.97,6.63,4.68
90,1.04,6.52,4.43
100,1.09,6.36,4.17
110,1.13,6.22,3.93
120,1.21,6.07,3.62
130,1.27,5.88,3.35
140,1.38,5.67,3.04
150,1.5,5.42,2.77
160,1.75,5.19,2.55
170,1.98,4.99,2.36
180,2.33,4.81,2.1
190,2.6,4.55,1.81
200,3.0,4.35,1.5
210,3.19,4.04,1.24
220,3.4,3.68,0.9
230,3.62,3.29,0.48
240,4.07,2.79,0.19
250,4.17,2.01,-0.48
260,4.07,1.17,-1.02
270,3.89,0.25,-1.47
280,3.67,-0.47,-1.67
290,3.59,-0.95,-1.6
300,3.49,-1.43,-1.24
310,3.17,-1.92,-0.61
320,2.76,-2.49,0.22
330,2.37,-3.13,1.02
340,2.08,-3.65,1.71
350,1.99,-4.17,2.44
360,2.16,-4.73,3.22
370,2.41,-5.11,4.26
380,2.48,-5.18,5.53
390,2.77,-5.1,6.96
400,3.17,-4.96,8.37
410,2.88,-4.65,10.21
420,2.9,-4.43,12.1
430,1.78,-4.53,13.92
440,-0.21,-4.85,16.35
450,-1.31,-4.76,18.83
460,-1.37,-4.51,20.85
470,-1.75,-3.87,23.61
480,-2.66,-3.4,26.33
490,-3.56,-2.82,28.59
500,-3.99,-2.38,29.84
510,-4.24,-1.68,30.44
520,-4.14,-0.87,30.45
530,-3.68,-0.13,29.94
540,-3.63,0.4,29.25
550,-3.33,1.07,28.53
560,-2.67,1.55,27.54
570,-2.04,1.92,26.48
580,-1.39,2.27,25.44
590,-0.68,2.45,24.39
600,-0.05,2.38,23.41
610,0.52,2.12,22.55
620,0.68,1.73,21.78
630,0.81,1.45,20.99
640,1.1,1.08,20.06
650,1.28,0.62,19.08
660,1.35,0.13,17.89
670,1.48,-0.3,16.65
680,1.63,-0.67,15.41
690,1.77,-0.82,14.04
700,2.09,-0.94,12.71
710,2.29,-1.05,11.37
720,2.49,-1.05,10.0
730,2.52,-1.19,8.64
740,2.36,-1.32,7.47
750,2.11,-1.31,6.55
760,1.95,-1.41,5.66
770,1.81,-1.42,4.79
780,1.64,-1.4,3.98
790,1.55,-1.43,3.11
800,1.42,-1.33,2.4
810,1.17,-1.14,1.87
820,1.03,-0.78,1.56
830,0.88,-0.48,1.35
840,0.73,-0.25,1.26
850,0.55,-0.07,1.23
860,0.36,0.2,1.38
870,0.27,0.57,1.54
880,0.17,1.05,1.76
890,-0.02,1.49,1.95
900,-0.12,1.85,2.11
910,-0.27,2.13,2.21
920,-0.26,2.4,2.32
930,-0.26,2.81,2.47
940,-0.18,3.28,2.54
950,-0.1,3.75,2.53
960,-0.03,4.12,2.52
970,-0.0,4.41,2.63
980,0.06,4.75,2.84
990,0.23,5.17,3.09
1000,0.46,5.58,3.39
