timestamp,x,y,z
0,0.99,3.36,8.11
10,1.04,3.44,8.17
20,1.1,3.4,8.12
30,1.14,3.39,8.12
40,1.18,3.39,8.2
50,1.29,3.39,8.18
60,1.38,3.41,8.3
70,1.49,3.4,8.29
80,1.7,3.5,8.3
90,1.81,3.61,8.32
100,1.94,3.64,8.29
110,2.03,3.68,8.28
120,2.05,3.68,8.25
130,2.01,3.62,8.2
140,1.97,3.6,8.25
150,1.93,3.51,8.26
160,1.89,3.45,8.37
170,1.79,3.37,8.41
180,1.82,3.34,8.39
190,1.85,3.27,8.35
200,1.82,3.15,8.23
210,1.91,3.12,8.1
220,1.78,3.01,7.87
230,1.86,2.95,7.63
240,1.95,2.83,7.48
250,2.16,2.59,7.14
260,2.26,2.32,6.54
270,2.41,2.07,5.83
280,2.66,1.6,4.9
290,2.87,1.08,3.66
300,2.86,0.46,2.29
310,2.82,0.11,0.9
320,3.19,-0.28,-0.25
330,3.37,-0.53,-0.92
340,3.39,-0.79,-1.35
350,3.2,-1.27,-1.64
360,2.83,-1.95,-2.13
370,2.28,-2.57,-2.17
380,2.03,-3.12,-1.99
390,1.29,-3.88,-1.47
400,0.0,-4.57,-0.43
410,-1.4,-5.15,0.81
420,-2.66,-5.74,2.11
430,-3.04,-6.39,3.09
440,-2.26,-6.59,4.26
450,-0.77,-6.22,5.77
460,0.19,-6.06,7.83
470,1.38,-5.5,10.22
480,2.34,-4.74,12.39
490,2.83,-4.39,14.01
500,3.18,-4.23,15.39
510,3.77,-3.76,16.95
520,3.54,-3.58,18.44
530,3.34,-3.39,19.87
540,3.37,-3.27,20.83
550,2.97,-3.14,21.83
560,2.61,-3.1,22.73
570,2.4,-3.07,23.33
580,2.82,-2.93,23.67
590,3.28,-2.71,24.09
600,3.6,-2.5,24.45
610,3.77,-2.43,24.61
620,3.63,-2.52,24.66
630,3.28,-2.76,24.51
640,3.03,-3.04,24.21
650,3.2,-3.32,24.12
660,3.81,-3.51,24.26
670,4.39,-3.48,24.42
680,4.79,-3.55,24.27
690,4.9,-3.74,23.52
700,4.75,-4.04,22.49
710,4.15,-4.32,21.22
720,3.8,-4.44,19.73
730,3.39,-4.44,18.03
740,2.95,-4.53,15.97
750,2.58,-4.41,13.69
760,2.42,-4.21,11.27
770,2.13,-3.95,8.59
780,1.89,-3.91,5.86
790,1.43,-3.97,3.23
800,0.79,-3.91,0.69
810,0.12,-3.84,-1.47
820,-0.66,-3.95,-3.29
830,-1.6,-3.95,-4.6
840,-2.28,-3.54,-5.03
850,-1.89,-2.68,-4.8
860,-1.18,-1.91,-4.28
870,-0.9,-1.48,-3.62
880,-1.28,-1.4,-3.18
890,-1.83,-1.48,-2.82
900,-2.12,-1.37,-2.01
910,-1.97,-0.91,-0.69
920,-1.56,-0.36,0.98
930,-1.03,0.19,2.57
940,-0.28,0.65,4.1
950,0.57,1.16,5.33
960,1.17,1.7,6.39
970,1.57,2.18,7.24
980,1.81,2.54,7.8
990,1.96,2.73,7.96
1000,2.12,2.93,8.09
