timestamp,x,y,z
0,2.65,6.56,5.92
10,2.7,6.53,5.86
20,2.8,6.57,5.83
30,2.99,6.66,5.81
40,3.17,6.79,5.77
50,3.3,6.85,5.72
60,3.37,6.79,5.62
70,3.41,6.56,5.4
80,3.38,6.29,5.2
90,3.4,6.01,4.98
100,3.5,5.81,4.81
110,3.76,5.54,4.56
120,4.12,5.12,4.16
130,4.33,4.61,3.66
140,4.59,4.06,2.84
150,4.89,3.42,1.52
160,4.64,2.7,0.0
170,4.97,2.32,-1.4
180,4.82,1.59,-2.52
190,4.22,0.63,-3.16
200,3.69,0.14,-3.29
210,3.33,-0.86,-3.43
220,2.99,-1.8,-3.37
230,2.93,-2.6,-3.04
240,3.04,-3.18,-2.58
250,3.17,-3.76,-1.85
260,3.22,-4.27,-0.76
270,3.2,-4.76,0.54
280,2.99,-5.33,1.84
290,2.59,-5.96,2.96
300,1.98,-6.71,4.15
310,1.23,-6.76,5.54
320,0.64,-6.42,6.88
330,0.96,-5.89,8.12
340,1.84,-5.25,9.05
350,2.51,-4.59,10.27
360,2.9,-4.02,12.0
370,2.47,-3.78,14.17
380,1.74,-3.81,16.3
390,1.34,-3.86,17.99
400,0.54,-3.63,19.64
410,-0.14,-3.44,21.73
420,-0.65,-2.83,23.04
430,-0.91,-1.36,24.17
440,-0.97,-0.68,24.83
450,-0.78,-0.11,25.36
460,-0.85,0.12,25.64
470,-0.32,0.29,25.85
480,0.19,0.86,26.06
490,0.38,1.65,26.19
500,0.56,2.09,26.17
510,0.68,1.88,25.66
520,0.77,1.33,25.18
530,0.7,0.93,24.89
540,0.67,0.84,24.58
550,1.01,0.75,23.93
560,1.7,0.64,22.96
570,2.35,0.49,21.94
580,2.6,0.28,20.95
590,2.76,-0.03,19.84
600,2.87,-0.39,18.65
610,3.08,-0.7,17.47
620,3.21,-1.01,16.31
630,3.09,-1.22,15.15
640,2.96,-1.6,13.76
650,2.85,-1.98,12.28
660,2.72,-2.24,10.82
670,2.67,-2.35,9.34
680,2.51,-2.23,8.01
690,2.29,-2.1,6.84
700,2.13,-2.05,5.81
710,1.98,-2.09,4.92
720,1.89,-2.03,4.1
730,1.73,-2.04,3.23
740,1.52,-1.99,2.49
750,1.36,-1.84,2.03
760,0.8,-1.57,2.08
770,0.24,-1.2,2.38
780,-0.16,-0.98,2.65
790,-0.51,-0.75,2.83
800,-0.53,-0.63,2.81
810,-0.53,-0.59,2.73
820,-0.47,-0.26,2.8
830,-0.4,0.07,2.99
840,-0.47,0.5,3.3
850,-0.42,0.99,3.52
860,-0.12,1.57,3.58
870,-0.03,2.09,3.66
880,0.18,2.54,3.69
890,0.38,2.96,3.78
900,0.59,3.37,3.94
910,0.85,3.62,4.19
920,0.99,3.85,4.5
930,1.0,3.99,4.79
940,1.04,4.12,4.99
950,1.07,4.22,5.19
960,1.11,4.33,5.32
970,1.15,4.51,5.39
980,1.34,4.67,5.39
990,1.56,4.91,5.43
1000,1.69,5.05,5.51
